,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,NWS,17.889999,18.030001,17.76,17.84,758500.0,0.2554,0.032,0.905666666667,0.0623333333333,17.73,17.950001,,,-0.159999,
1,2014-01-03,NWS,17.73,17.950001,17.620001,17.950001,431600.0,,,,,17.549999,17.82,17.889999,-0.159999,-0.180001,-0.020002
2,2014-01-06,NWS,17.549999,17.870001,17.43,17.82,620000.0,,,,,17.32,17.51,17.73,-0.180001,-0.229999,-0.049998
3,2014-01-07,NWS,17.32,17.549999,17.219999,17.51,1174400.0,,,,,17.24,17.26,17.549999,-0.229999,-0.08,0.149999
4,2014-01-08,NWS,17.24,17.33,17.07,17.26,630300.0,,,,,17.299999,17.33,17.32,-0.08,0.059999,0.139999
5,2014-01-09,NWS,17.299999,17.469999,17.200001,17.33,594200.0,,,,,17.34,17.280001,17.24,0.059999,0.040001,-0.019998
6,2014-01-10,NWS,17.34,17.41,17.23,17.280001,303800.0,,,,,17.08,17.280001,17.299999,0.040001,-0.26,-0.300001
7,2014-01-13,NWS,17.08,17.370001,17.030001,17.280001,458200.0,,,,,17.24,17.08,17.34,-0.26,0.16,0.42
8,2014-01-14,NWS,17.24,17.290001,17.08,17.08,594200.0,,,,,17.15,17.25,17.08,0.16,-0.09,-0.25
9,2014-01-15,NWS,17.15,17.25,17.09,17.25,480300.0,,,,,17.040001,17.059999,17.24,-0.09,-0.109999,-0.019999
10,2014-01-16,NWS,17.040001,17.17,16.99,17.059999,506000.0,,,,,17.02,16.959999,17.15,-0.109999,-0.020001,0.089998
11,2014-01-17,NWS,17.02,17.08,16.879999,16.959999,813400.0,,,,,16.76,17.120001,17.040001,-0.020001,-0.26,-0.239999
12,2014-01-21,NWS,16.76,17.120001,16.66,17.120001,885900.0,0.280066666667,0.019,0.954333333333,0.027,16.67,16.74,17.02,-0.26,-0.09,0.17
13,2014-01-22,NWS,16.67,17.01,16.57,16.74,644100.0,0.92235,0.0345,0.9045,0.061,16.549999,16.58,16.76,-0.09,-0.120001,-0.030001
14,2014-01-23,NWS,16.549999,16.58,16.389999,16.58,372700.0,,,,,16.15,16.4,16.67,-0.120001,-0.399999,-0.279998
15,2014-01-24,NWS,16.15,16.73,16.059999,16.4,838800.0,,,,,16.15,16.139999,16.549999,-0.399999,0.0,0.399999
16,2014-01-27,NWS,16.15,16.52,16.049999,16.139999,3012700.0,,,,,16.01,16.1,16.15,0.0,-0.14,-0.14
17,2014-01-28,NWS,16.01,16.27,16.0,16.1,1214600.0,,,,,15.92,15.86,16.15,-0.14,-0.09,0.05
18,2014-01-29,NWS,15.92,16.02,15.8,15.86,1283200.0,,,,,15.8,16.049999,16.01,-0.09,-0.12,-0.03
19,2014-01-30,NWS,15.8,16.049999,15.75,16.049999,1937300.0,,,,,15.61,15.63,15.92,-0.12,-0.19,-0.07
20,2014-01-31,NWS,15.61,15.82,15.58,15.63,783600.0,,,,,15.07,15.55,15.8,-0.19,-0.54,-0.35
21,2014-02-03,NWS,15.07,15.73,15.06,15.55,1966600.0,,,,,15.07,15.18,15.61,-0.54,0.0,0.54
22,2014-02-04,NWS,15.07,15.36,15.0,15.18,4492500.0,,,,,15.31,15.2,15.07,0.0,0.24,0.24
23,2014-02-05,NWS,15.31,15.49,15.12,15.2,2498300.0,,,,,15.66,15.4,15.07,0.24,0.35,0.11
24,2014-02-06,NWS,15.66,15.74,15.18,15.4,1457800.0,0.9608,0.0243333333333,0.845333333333,0.130333333333,17.0,16.5,15.31,0.35,1.34,0.99
25,2014-02-07,NWS,17.0,17.5,16.5,16.5,1909400.0,,,,,17.15,17.059999,15.66,1.34,0.15,-1.19
26,2014-02-10,NWS,17.15,17.190001,16.73,17.059999,920700.0,,,,,17.5,17.139999,17.0,0.15,0.35,0.2
27,2014-02-11,NWS,17.5,17.549999,17.08,17.139999,1025800.0,,,,,17.299999,17.450001,17.15,0.35,-0.200001,-0.550001
28,2014-02-12,NWS,17.299999,17.58,17.24,17.450001,443800.0,,,,,17.26,17.26,17.5,-0.200001,-0.039999,0.160002
