,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,NWSA,17.950001,18.17,17.82,18.049999,3673400.0,0.2554,0.032,0.905666666667,0.0623333333333,17.82,17.93,,,-0.130001,
1,2014-01-03,NWSA,17.82,18.01,17.780001,17.93,2016600.0,,,,,17.58,17.879999,17.950001,-0.130001,-0.24,-0.109999
2,2014-01-06,NWSA,17.58,17.959999,17.48,17.879999,3388300.0,,,,,17.4,17.65,17.82,-0.24,-0.18,0.06
3,2014-01-07,NWSA,17.4,17.65,17.33,17.65,3266000.0,,,,,17.290001,17.35,17.58,-0.18,-0.109999,0.070001
4,2014-01-08,NWSA,17.290001,17.4,17.15,17.35,4109600.0,,,,,17.34,17.379999,17.4,-0.109999,0.049999,0.159998
5,2014-01-09,NWSA,17.34,17.48,17.27,17.379999,2852700.0,,,,,17.4,17.41,17.290001,0.049999,0.06,0.010001
6,2014-01-10,NWSA,17.4,17.52,17.280001,17.41,2063700.0,,,,,17.15,17.41,17.34,0.06,-0.25,-0.31
7,2014-01-13,NWSA,17.15,17.440001,17.07,17.41,2655600.0,,,,,17.299999,17.200001,17.4,-0.25,0.149999,0.399999
8,2014-01-14,NWSA,17.299999,17.35,17.129999,17.200001,1935000.0,,,,,17.209999,17.24,17.15,0.149999,-0.09,-0.239999
9,2014-01-15,NWSA,17.209999,17.33,17.1,17.24,2209400.0,,,,,17.08,17.200001,17.299999,-0.09,-0.129999,-0.039999
10,2014-01-16,NWSA,17.08,17.26,17.049999,17.200001,2833400.0,,,,,17.08,17.09,17.209999,-0.129999,0.0,0.129999
11,2014-01-17,NWSA,17.08,17.18,16.940001,17.09,2102700.0,,,,,16.76,17.15,17.08,0.0,-0.32,-0.32
12,2014-01-21,NWSA,16.76,17.15,16.690001,17.15,4664700.0,0.280066666667,0.019,0.954333333333,0.027,16.65,16.75,17.08,-0.32,-0.11,0.21
13,2014-01-22,NWSA,16.65,16.99,16.559999,16.75,3109900.0,0.92235,0.0345,0.9045,0.061,16.530001,16.5,16.76,-0.11,-0.119999,-0.00999899999999
14,2014-01-23,NWSA,16.530001,16.58,16.360001,16.5,3085400.0,,,,,16.17,16.27,16.65,-0.119999,-0.360001,-0.240002
15,2014-01-24,NWSA,16.17,16.33,16.01,16.27,6995600.0,,,,,16.389999,16.25,16.530001,-0.360001,0.219999,0.58
16,2014-01-27,NWSA,16.389999,16.559999,16.190001,16.25,6241000.0,,,,,16.24,16.379999,16.17,0.219999,-0.149999,-0.369998
17,2014-01-28,NWSA,16.24,16.459999,16.23,16.379999,4468400.0,,,,,16.219999,16.09,16.389999,-0.149999,-0.020001,0.129998
18,2014-01-29,NWSA,16.219999,16.280001,16.01,16.09,5574400.0,,,,,16.200001,16.280001,16.24,-0.020001,-0.019998,3.00000000308e-06
19,2014-01-30,NWSA,16.200001,16.299999,16.16,16.280001,9436500.0,,,,,15.96,16.139999,16.219999,-0.019998,-0.240001,-0.220003
20,2014-01-31,NWSA,15.96,16.24,15.95,16.139999,3040200.0,,,,,15.52,16.0,16.200001,-0.240001,-0.44,-0.199999
21,2014-02-03,NWSA,15.52,16.059999,15.48,16.0,4729900.0,,,,,15.52,15.55,15.96,-0.44,0.0,0.44
22,2014-02-04,NWSA,15.52,15.72,15.44,15.55,8117500.0,,,,,15.61,15.56,15.52,0.0,0.09,0.09
23,2014-02-05,NWSA,15.61,15.9,15.55,15.56,5805700.0,,,,,16.02,15.64,15.52,0.09,0.41,0.32
24,2014-02-06,NWSA,16.02,16.110001,15.61,15.64,4984700.0,0.9608,0.0243333333333,0.845333333333,0.130333333333,17.41,17.48,15.61,0.41,1.39,0.98
25,2014-02-07,NWSA,17.41,18.0,17.07,17.48,13191600.0,,,,,17.51,17.030001,16.02,1.39,0.1,-1.29
26,2014-02-10,NWSA,17.51,17.59,16.969999,17.030001,6085100.0,,,,,17.93,17.530001,17.41,0.1,0.42,0.32
27,2014-02-11,NWSA,17.93,18.0,17.41,17.530001,6908500.0,,,,,17.65,17.93,17.51,0.42,-0.28,-0.7
28,2014-02-12,NWSA,17.65,18.049999,17.6,17.93,3310200.0,,,,,17.66,17.549999,17.93,-0.28,0.01,0.29
29,2014-02-13,NWSA,17.66,17.82,17.41,17.549999,2168600.0,,,,,17.68,17.620001,17.65,0.01,0.02,0.01
30,2014-02-14,NWSA,17.68,17.84,17.540001,17.620001,1827600.0,,,,,17.75,17.719999,17.66,0.02,0.07,0.05
31,2014-02-18,NWSA,17.75,17.82,17.559999,17.719999,2359300.0,,,,,17.59,17.700001,17.68,0.07,-0.16,-0.23
32,2014-02-19,NWSA,17.59,17.860001,17.559999,17.700001,2217500.0,,,,,17.5,17.6,17.75,-0.16,-0.09,0.07
33,2014-02-20,NWSA,17.5,17.639999,17.309999,17.6,2549700.0,,,,,17.68,17.450001,17.59,-0.09,0.18,0.27
34,2014-02-21,NWSA,17.68,17.76,17.440001,17.450001,3193600.0,,,,,17.940001,17.75,17.5,0.18,0.260001,0.080001
35,2014-02-24,NWSA,17.940001,18.049999,17.74,17.75,2473300.0,,,,,17.959999,17.93,17.68,0.260001,0.019998,-0.240003
36,2014-02-25,NWSA,17.959999,18.110001,17.9,17.93,2396900.0,,,,,18.030001,17.950001,17.940001,0.019998,0.070002,0.050004
37,2014-02-26,NWSA,18.030001,18.139999,17.83,17.950001,2275700.0,,,,,18.02,17.950001,17.959999,0.070002,-0.010001,-0.080003
38,2014-02-27,NWSA,18.02,18.059999,17.860001,17.950001,2363300.0,,,,,18.33,18.059999,18.030001,-0.010001,0.31,0.320001
39,2014-02-28,NWSA,18.33,18.4,17.92,18.059999,2515100.0,,,,,18.120001,18.190001,18.02,0.31,-0.209999,-0.519999
40,2014-03-03,NWSA,18.120001,18.34,17.950001,18.190001,3592200.0,-0.46095,0.0385,0.92275,0.0385,18.4,18.200001,18.33,-0.209999,0.279999,0.489998
41,2014-03-04,NWSA,18.4,18.41,18.15,18.200001,3160600.0,-0.9879,0.11,0.818,0.072,18.299999,18.43,18.120001,0.279999,-0.100001,-0.38
42,2014-03-05,NWSA,18.299999,18.530001,18.129999,18.43,2321700.0,,,,,18.280001,18.32,18.4,-0.100001,-0.019998,0.080003
43,2014-03-06,NWSA,18.280001,18.43,18.190001,18.32,1897600.0,,,,,17.91,18.299999,18.299999,-0.019998,-0.370001,-0.350003
44,2014-03-07,NWSA,17.91,18.360001,17.84,18.299999,2501200.0,,,,,17.76,17.959999,18.280001,-0.370001,-0.15,0.220001
45,2014-03-10,NWSA,17.76,18.0,17.709999,17.959999,1937800.0,,,,,17.709999,17.76,17.91,-0.15,-0.050001,0.099999
46,2014-03-11,NWSA,17.709999,17.809999,17.52,17.76,1971000.0,,,,,17.83,17.700001,17.76,-0.050001,0.120001,0.170002
47,2014-03-12,NWSA,17.83,17.889999,17.4,17.700001,2782300.0,-0.908,0.0675,0.908,0.0245,17.34,17.82,17.709999,0.120001,-0.49,-0.610001
48,2014-03-13,NWSA,17.34,17.91,17.309999,17.82,2515200.0,,,,,17.43,17.370001,17.83,-0.49,0.09,0.58
49,2014-03-14,NWSA,17.43,17.639999,17.25,17.370001,2372300.0,,,,,17.389999,17.549999,17.34,0.09,-0.040001,-0.130001
50,2014-03-17,NWSA,17.389999,17.809999,17.290001,17.549999,1707100.0,,,,,17.709999,17.42,17.43,-0.040001,0.32,0.360001
51,2014-03-18,NWSA,17.709999,17.74,17.379999,17.42,3081100.0,,,,,17.549999,17.67,17.389999,0.32,-0.16,-0.48
52,2014-03-19,NWSA,17.549999,17.799999,17.459999,17.67,2405600.0,-0.9779,0.109,0.869666666667,0.0213333333333,17.51,17.450001,17.709999,-0.16,-0.039999,0.120001
53,2014-03-20,NWSA,17.51,17.57,17.32,17.450001,1290800.0,,,,,17.58,17.73,17.549999,-0.039999,0.07,0.109999
54,2014-03-21,NWSA,17.58,17.73,17.33,17.73,4658500.0,,,,,17.469999,17.6,17.51,0.07,-0.110001,-0.180001
55,2014-03-24,NWSA,17.469999,17.67,17.389999,17.6,2295500.0,,,,,17.360001,17.57,17.58,-0.110001,-0.109998,3.00000000308e-06
56,2014-03-25,NWSA,17.360001,17.59,17.27,17.57,2258900.0,0.9595,0.06,0.862,0.078,17.030001,17.370001,17.469999,-0.109998,-0.33,-0.220002
57,2014-03-26,NWSA,17.030001,17.42,17.02,17.370001,3216400.0,,,,,17.02,17.09,17.360001,-0.33,-0.010001,0.319999
58,2014-03-27,NWSA,17.02,17.23,16.99,17.09,4109800.0,0.9656,0.033,0.901,0.067,17.030001,17.01,17.030001,-0.010001,0.010001,0.020002
59,2014-03-28,NWSA,17.030001,17.280001,17.0,17.01,2012300.0,,,,,17.219999,17.15,17.02,0.010001,0.189998,0.179997
60,2014-03-31,NWSA,17.219999,17.25,17.0,17.15,2399300.0,,,,,17.440001,17.34,17.030001,0.189998,0.220002,0.030004
61,2014-04-01,NWSA,17.440001,17.5,17.200001,17.34,3302700.0,-0.448566666667,0.111333333333,0.813,0.0763333333333,17.440001,17.4,17.219999,0.220002,0.0,-0.220002
62,2014-04-02,NWSA,17.440001,17.52,17.27,17.4,2373600.0,0.9042,0.013,0.923,0.064,17.110001,17.469999,17.440001,0.0,-0.33,-0.33
63,2014-04-03,NWSA,17.110001,17.52,17.09,17.469999,3712800.0,,,,,17.120001,17.23,17.440001,-0.33,0.01,0.34
64,2014-04-04,NWSA,17.120001,17.540001,17.110001,17.23,2828900.0,,,,,17.08,17.110001,17.110001,0.01,-0.040001,-0.050001
65,2014-04-07,NWSA,17.08,17.379999,17.0,17.110001,3028700.0,,,,,17.049999,17.18,17.120001,-0.040001,-0.030001,0.01
66,2014-04-08,NWSA,17.049999,17.209999,16.92,17.18,2520200.0,,,,,17.200001,17.059999,17.08,-0.030001,0.150002,0.180003
67,2014-04-09,NWSA,17.200001,17.219999,16.959999,17.059999,1704500.0,,,,,16.83,17.23,17.049999,0.150002,-0.370001,-0.520003
68,2014-04-10,NWSA,16.83,17.32,16.83,17.23,2395300.0,,,,,16.540001,16.780001,17.200001,-0.370001,-0.289999,0.080002
69,2014-04-11,NWSA,16.540001,17.16,16.469999,16.780001,3203000.0,,,,,16.77,16.66,16.83,-0.289999,0.229999,0.519998
70,2014-04-14,NWSA,16.77,16.809999,16.5,16.66,2453400.0,,,,,16.629999,16.780001,16.540001,0.229999,-0.140001,-0.37
71,2014-04-15,NWSA,16.629999,16.950001,16.32,16.780001,2191900.0,,,,,16.790001,16.719999,16.77,-0.140001,0.160002,0.300003
72,2014-04-16,NWSA,16.790001,16.9,16.450001,16.719999,1600400.0,,,,,16.879999,16.719999,16.629999,0.160002,0.089998,-0.070004
73,2014-04-17,NWSA,16.879999,17.02,16.719999,16.719999,1113000.0,,,,,16.950001,16.870001,16.790001,0.089998,0.070002,-0.019996
74,2014-04-21,NWSA,16.950001,17.040001,16.549999,16.870001,1777300.0,,,,,17.01,16.940001,16.879999,0.070002,0.059999,-0.010003
75,2014-04-22,NWSA,17.01,17.049999,16.73,16.940001,1297400.0,,,,,17.23,17.030001,16.950001,0.059999,0.22,0.160001
76,2014-04-23,NWSA,17.23,17.24,16.93,17.030001,1563300.0,,,,,17.280001,17.290001,17.01,0.22,0.050001,-0.169999
77,2014-04-24,NWSA,17.280001,17.440001,17.01,17.290001,1958100.0,,,,,17.129999,17.26,17.23,0.050001,-0.150002,-0.200003
78,2014-04-25,NWSA,17.129999,17.26,17.08,17.26,1166800.0,,,,,17.129999,17.17,17.280001,-0.150002,0.0,0.150002
79,2014-04-28,NWSA,17.129999,17.219999,16.82,17.17,1787100.0,,,,,17.209999,17.25,17.129999,0.0,0.08,0.08
80,2014-04-29,NWSA,17.209999,17.42,17.110001,17.25,2230200.0,,,,,17.02,17.200001,17.129999,0.08,-0.189999,-0.269999
81,2014-04-30,NWSA,17.02,17.200001,16.780001,17.200001,2780900.0,,,,,17.299999,17.209999,17.209999,-0.189999,0.279999,0.469998
82,2014-05-01,NWSA,17.299999,17.389999,17.059999,17.209999,2417900.0,,,,,17.309999,17.23,17.02,0.279999,0.01,-0.269999
83,2014-05-02,NWSA,17.309999,17.440001,17.02,17.23,2118000.0,0.86855,0.024,0.89025,0.08575,17.4,17.26,17.299999,0.01,0.090001,0.080001
84,2014-05-05,NWSA,17.4,17.43,17.139999,17.26,1564200.0,,,,,17.139999,17.32,17.309999,0.090001,-0.260001,-0.350002
85,2014-05-06,NWSA,17.139999,17.34,17.129999,17.32,1908900.0,,,,,17.08,17.139999,17.4,-0.260001,-0.059999,0.200002
86,2014-05-07,NWSA,17.08,17.200001,16.92,17.139999,2508800.0,0.7699,0.087,0.812,0.101,17.110001,17.09,17.139999,-0.059999,0.030001,0.09
87,2014-05-08,NWSA,17.110001,17.17,16.879999,17.09,3885700.0,0.75072,0.0254,0.9162,0.0586,18.0,17.51,17.08,0.030001,0.889999,0.859998
88,2014-05-09,NWSA,18.0,18.02,17.27,17.51,4623900.0,,,,,17.85,18.049999,17.110001,0.889999,-0.15,-1.039999
89,2014-05-12,NWSA,17.85,18.18,17.76,18.049999,2926300.0,,,,,17.719999,17.84,18.0,-0.15,-0.130001,0.019999
90,2014-05-13,NWSA,17.719999,17.940001,17.65,17.84,2205200.0,,,,,17.190001,17.74,17.85,-0.130001,-0.529998,-0.399997
91,2014-05-14,NWSA,17.190001,17.790001,17.17,17.74,3964200.0,,,,,16.870001,17.18,17.719999,-0.529998,-0.32,0.209998
92,2014-05-15,NWSA,16.870001,17.23,16.870001,17.18,2974000.0,,,,,17.049999,16.889999,17.190001,-0.32,0.179998,0.499998
93,2014-05-16,NWSA,17.049999,17.1,16.67,16.889999,2826600.0,,,,,17.030001,16.98,16.870001,0.179998,-0.019998,-0.199996
94,2014-05-19,NWSA,17.030001,17.16,16.92,16.98,1613300.0,,,,,16.75,16.98,17.049999,-0.019998,-0.280001,-0.260003
95,2014-05-20,NWSA,16.75,17.0,16.66,16.98,3511200.0,,,,,16.91,16.790001,17.030001,-0.280001,0.16,0.440001
96,2014-05-21,NWSA,16.91,17.040001,16.77,16.790001,3463200.0,,,,,17.17,16.98,16.75,0.16,0.26,0.1
97,2014-05-22,NWSA,17.17,17.219999,16.83,16.98,2657700.0,,,,,17.09,17.16,16.91,0.26,-0.08,-0.34
98,2014-05-23,NWSA,17.09,17.219999,17.0,17.16,3382000.0,,,,,17.219999,17.129999,17.17,-0.08,0.129999,0.209999
99,2014-05-27,NWSA,17.219999,17.290001,17.059999,17.129999,1829500.0,,,,,17.110001,17.190001,17.09,0.129999,-0.109998,-0.239997
100,2014-05-28,NWSA,17.110001,17.24,16.780001,17.190001,2019800.0,,,,,17.120001,17.09,17.219999,-0.109998,0.01,0.119998
101,2014-05-29,NWSA,17.120001,17.17,16.969999,17.09,2734800.0,,,,,17.059999,17.09,17.110001,0.01,-0.060002,-0.070002
102,2014-05-30,NWSA,17.059999,17.18,17.01,17.09,2971600.0,,,,,17.26,17.1,17.120001,-0.060002,0.200001,0.260003
103,2014-06-02,NWSA,17.26,17.33,17.030001,17.1,2176800.0,,,,,17.370001,17.129999,17.059999,0.200001,0.110001,-0.09
104,2014-06-03,NWSA,17.370001,17.48,17.129999,17.129999,1993700.0,,,,,17.469999,17.299999,17.26,0.110001,0.099998,-0.010003
105,2014-06-04,NWSA,17.469999,17.6,17.280001,17.299999,1802300.0,,,,,17.719999,17.540001,17.370001,0.099998,0.25,0.150002
106,2014-06-05,NWSA,17.719999,17.74,17.33,17.540001,1616400.0,,,,,17.690001,17.719999,17.469999,0.25,-0.029998,-0.279998
107,2014-06-06,NWSA,17.690001,17.92,17.6,17.719999,2294000.0,,,,,17.66,17.639999,17.719999,-0.029998,-0.030001,-3.00000000664e-06
108,2014-06-09,NWSA,17.66,17.940001,17.6,17.639999,1958600.0,,,,,17.610001,17.66,17.690001,-0.030001,-0.049999,-0.019998
109,2014-06-10,NWSA,17.610001,17.75,17.48,17.66,1789300.0,,,,,17.629999,17.629999,17.66,-0.049999,0.019998,0.069997
110,2014-06-11,NWSA,17.629999,17.68,17.51,17.629999,1201800.0,,,,,17.299999,17.559999,17.610001,0.019998,-0.33,-0.349998
111,2014-06-12,NWSA,17.299999,17.559999,17.299999,17.559999,7379600.0,,,,,17.23,17.379999,17.629999,-0.33,-0.069999,0.260001
112,2014-06-13,NWSA,17.23,17.6,17.139999,17.379999,2298500.0,,,,,17.120001,17.139999,17.299999,-0.069999,-0.109999,-0.04
113,2014-06-16,NWSA,17.120001,17.23,16.92,17.139999,2710500.0,,,,,17.25,17.059999,17.23,-0.109999,0.129999,0.239998
114,2014-06-17,NWSA,17.25,17.280001,17.01,17.059999,1869200.0,,,,,17.58,17.25,17.120001,0.129999,0.33,0.200001
115,2014-06-18,NWSA,17.58,17.58,17.190001,17.25,3342300.0,0.9246,0.025,0.873,0.102,17.67,17.52,17.25,0.33,0.09,-0.24
116,2014-06-19,NWSA,17.67,17.68,17.23,17.52,3407300.0,0.8555,0.085,0.798,0.117,17.629999,17.76,17.58,0.09,-0.040001,-0.130001
117,2014-06-20,NWSA,17.629999,17.809999,17.34,17.76,4562300.0,,,,,17.370001,17.690001,17.67,-0.040001,-0.259998,-0.219997
118,2014-06-23,NWSA,17.370001,17.709999,17.27,17.690001,3982900.0,,,,,17.49,17.379999,17.629999,-0.259998,0.119999,0.379997
119,2014-06-24,NWSA,17.49,17.639999,17.190001,17.379999,3323100.0,,,,,17.709999,17.41,17.370001,0.119999,0.219999,0.1
120,2014-06-25,NWSA,17.709999,17.780001,17.26,17.41,3172600.0,,,,,18.02,17.799999,17.49,0.219999,0.310001,0.090002
121,2014-06-26,NWSA,18.02,18.030001,17.549999,17.799999,6005500.0,-0.9364,0.0746666666667,0.873666666667,0.051,17.98,17.9,17.709999,0.310001,-0.04,-0.350001
122,2014-06-27,NWSA,17.98,18.08,17.809999,17.9,17508800.0,,,,,17.940001,17.969999,18.02,-0.04,-0.039999,1.00000000103e-06
123,2014-06-30,NWSA,17.940001,18.120001,17.77,17.969999,3933100.0,,,,,18.1,18.02,17.98,-0.039999,0.159999,0.199998
