,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,PBCT,15.01,15.17,14.96,15.08,2828900.0,,,,,15.06,15.04,,,0.05,
1,2014-01-03,PBCT,15.06,15.08,14.98,15.04,2271400.0,,,,,15.1,15.06,15.01,0.05,0.04,-0.01
2,2014-01-06,PBCT,15.1,15.15,15.02,15.06,3755200.0,,,,,15.15,15.15,15.06,0.04,0.05,0.01
3,2014-01-07,PBCT,15.15,15.19,15.05,15.15,2780400.0,,,,,15.42,15.17,15.1,0.05,0.27,0.22
4,2014-01-08,PBCT,15.42,15.45,15.12,15.17,5247900.0,,,,,15.59,15.49,15.15,0.27,0.17,-0.1
5,2014-01-09,PBCT,15.59,15.7,15.44,15.49,5344100.0,,,,,15.38,15.6,15.42,0.17,-0.21,-0.38
6,2014-01-10,PBCT,15.38,15.68,15.34,15.6,5324400.0,,,,,15.41,15.44,15.59,-0.21,0.03,0.24
7,2014-01-13,PBCT,15.41,15.59,15.31,15.44,5031300.0,,,,,15.55,15.64,15.38,0.03,0.14,0.11
8,2014-01-14,PBCT,15.55,15.68,15.32,15.64,5736500.0,,,,,15.47,15.58,15.41,0.14,-0.08,-0.22
9,2014-01-15,PBCT,15.47,15.69,15.45,15.58,4833300.0,,,,,15.37,15.37,15.55,-0.08,-0.1,-0.02
10,2014-01-16,PBCT,15.37,15.67,15.23,15.37,5798000.0,,,,,14.85,14.96,15.47,-0.1,-0.52,-0.42
11,2014-01-17,PBCT,14.85,15.01,14.62,14.96,34202800.0,,,,,15.01,14.88,15.37,-0.52,0.16,0.68
12,2014-01-21,PBCT,15.01,15.12,14.86,14.88,10169400.0,,,,,15.11,15.03,14.85,0.16,0.1,-0.06
13,2014-01-22,PBCT,15.11,15.18,15.03,15.03,4054300.0,,,,,14.75,15.1,15.01,0.1,-0.36,-0.46
14,2014-01-23,PBCT,14.75,15.15,14.74,15.1,5412000.0,,,,,14.58,14.64,15.11,-0.36,-0.17,0.19
15,2014-01-24,PBCT,14.58,14.73,14.54,14.64,4818000.0,,,,,14.47,14.6,14.75,-0.17,-0.11,0.06
16,2014-01-27,PBCT,14.47,14.71,14.45,14.6,6587800.0,,,,,14.6,14.43,14.58,-0.11,0.13,0.24
17,2014-01-28,PBCT,14.6,14.64,14.43,14.43,3802700.0,,,,,14.35,14.38,14.47,0.13,-0.25,-0.38
18,2014-01-29,PBCT,14.35,14.44,14.3,14.38,4180900.0,,,,,14.42,14.4,14.6,-0.25,0.07,0.32
