,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,PHM,20.08,20.34,19.860001,20.25,5616900.0,,,,,20.040001,20.120001,,,-0.039999,
1,2014-01-03,PHM,20.040001,20.379999,19.98,20.120001,3716900.0,,,,,19.84,20.139999,20.08,-0.039999,-0.200001,-0.160002
2,2014-01-06,PHM,19.84,20.26,19.709999,20.139999,6601100.0,,,,,19.540001,20.07,20.040001,-0.200001,-0.299999,-0.099998
3,2014-01-07,PHM,19.540001,20.09,19.48,20.07,7194900.0,,,,,19.780001,19.51,19.84,-0.299999,0.24,0.539999
4,2014-01-08,PHM,19.780001,19.91,19.360001,19.51,8660800.0,,,,,19.790001,19.870001,19.540001,0.24,0.01,-0.23
5,2014-01-09,PHM,19.790001,19.9,19.469999,19.870001,5202600.0,,,,,20.16,19.73,19.780001,0.01,0.369999,0.359999
6,2014-01-10,PHM,20.16,20.43,19.690001,19.73,11384400.0,,,,,19.4,20.0,19.790001,0.369999,-0.76,-1.129999
7,2014-01-13,PHM,19.4,20.01,19.26,20.0,8761700.0,,,,,19.52,19.530001,20.16,-0.76,0.12,0.88
8,2014-01-14,PHM,19.52,19.66,19.25,19.530001,5193000.0,,,,,19.469999,19.620001,19.4,0.12,-0.050001,-0.170001
9,2014-01-15,PHM,19.469999,19.639999,19.34,19.620001,4437000.0,,,,,19.690001,19.43,19.52,-0.050001,0.220002,0.270003
10,2014-01-16,PHM,19.690001,19.76,19.129999,19.43,5388200.0,,,,,19.360001,19.67,19.469999,0.220002,-0.33,-0.550002
11,2014-01-17,PHM,19.360001,19.67,19.309999,19.67,4544200.0,,,,,19.200001,19.440001,19.690001,-0.33,-0.16,0.17
12,2014-01-21,PHM,19.200001,19.51,19.030001,19.440001,4930000.0,,,,,19.629999,19.219999,19.360001,-0.16,0.429998,0.589998
13,2014-01-22,PHM,19.629999,19.74,19.1,19.219999,5522100.0,,,,,19.65,19.450001,19.200001,0.429998,0.020001,-0.409997
14,2014-01-23,PHM,19.65,19.68,19.25,19.450001,4669300.0,,,,,18.84,19.459999,19.629999,0.020001,-0.81,-0.830001
15,2014-01-24,PHM,18.84,19.52,18.75,19.459999,6972700.0,,,,,18.709999,18.889999,19.65,-0.81,-0.130001,0.679999
16,2014-01-27,PHM,18.709999,19.33,18.209999,18.889999,7969400.0,,,,,19.450001,18.940001,18.84,-0.130001,0.740002,0.870003
17,2014-01-28,PHM,19.450001,19.549999,18.9,18.940001,8873800.0,,,,,19.43,19.18,18.709999,0.740002,-0.020001,-0.760003
18,2014-01-29,PHM,19.43,19.59,19.049999,19.18,9793800.0,,,,,19.77,20.309999,19.450001,-0.020001,0.34,0.360001
19,2014-01-30,PHM,19.77,20.780001,19.360001,20.309999,12568800.0,0.5569,0.028,0.9065,0.066,20.32,19.860001,19.43,0.34,0.55,0.21
20,2014-01-31,PHM,20.32,20.780001,19.719999,19.860001,14350900.0,,,,,19.690001,20.65,19.77,0.55,-0.629999,-1.179999
21,2014-02-03,PHM,19.690001,20.65,19.459999,20.65,11087700.0,,,,,19.870001,19.73,20.32,-0.629999,0.18,0.809999
22,2014-02-04,PHM,19.870001,20.1,19.51,19.73,8536800.0,,,,,19.49,19.639999,19.690001,0.18,-0.380001,-0.560001
23,2014-02-05,PHM,19.49,19.719999,19.200001,19.639999,9105300.0,,,,,20.129999,19.6,19.870001,-0.380001,0.639999,1.02
24,2014-02-06,PHM,20.129999,20.299999,19.59,19.6,7816900.0,,,,,19.799999,20.219999,19.49,0.639999,-0.33,-0.969999
25,2014-02-07,PHM,19.799999,20.26,19.65,20.219999,9950500.0,,,,,19.35,19.780001,20.129999,-0.33,-0.449999,-0.119999
26,2014-02-10,PHM,19.35,19.91,19.27,19.780001,9673400.0,,,,,19.67,19.299999,19.799999,-0.449999,0.32,0.769999
27,2014-02-11,PHM,19.67,19.73,19.200001,19.299999,8756900.0,,,,,19.6,19.74,19.35,0.32,-0.07,-0.39
28,2014-02-12,PHM,19.6,19.84,19.52,19.74,5005500.0,,,,,19.82,19.540001,19.67,-0.07,0.22,0.29
29,2014-02-13,PHM,19.82,19.85,19.360001,19.540001,5186000.0,,,,,20.02,19.799999,19.6,0.22,0.2,-0.02
30,2014-02-14,PHM,20.02,20.030001,19.57,19.799999,5436100.0,,,,,19.790001,20.1,19.82,0.2,-0.229999,-0.429999
31,2014-02-18,PHM,19.790001,20.23,19.52,20.1,6470400.0,,,,,19.66,19.75,20.02,-0.229999,-0.130001,0.099998
32,2014-02-19,PHM,19.66,19.98,19.549999,19.75,6009800.0,,,,,20.02,19.709999,19.790001,-0.130001,0.36,0.490001
33,2014-02-20,PHM,20.02,20.040001,19.450001,19.709999,10637100.0,,,,,20.370001,20.049999,19.66,0.36,0.350001,-0.009999
34,2014-02-21,PHM,20.370001,20.48,19.879999,20.049999,9679300.0,,,,,20.42,20.42,20.02,0.350001,0.049999,-0.300002
35,2014-02-24,PHM,20.42,20.5,20.129999,20.42,8780800.0,,,,,20.68,20.379999,20.370001,0.049999,0.26,0.210001
36,2014-02-25,PHM,20.68,20.879999,20.18,20.379999,7304700.0,,,,,21.25,20.700001,20.42,0.26,0.57,0.31
37,2014-02-26,PHM,21.25,21.65,20.5,20.700001,12628700.0,,,,,21.290001,21.24,20.68,0.57,0.040001,-0.529999
38,2014-02-27,PHM,21.290001,21.309999,20.9,21.24,10833100.0,,,,,20.99,21.280001,21.25,0.040001,-0.300001,-0.340002
39,2014-02-28,PHM,20.99,21.290001,20.76,21.280001,10117000.0,,,,,20.809999,20.77,21.290001,-0.300001,-0.180001,0.12
40,2014-03-03,PHM,20.809999,20.9,20.51,20.77,6453100.0,,,,,20.91,21.389999,20.99,-0.180001,0.100001,0.280002
41,2014-03-04,PHM,20.91,21.41,20.780001,21.389999,12214700.0,,,,,20.639999,20.91,20.809999,0.100001,-0.270001,-0.370002
42,2014-03-05,PHM,20.639999,21.049999,20.57,20.91,7291200.0,,,,,20.58,20.66,20.91,-0.270001,-0.059999,0.210002
43,2014-03-06,PHM,20.58,20.799999,20.42,20.66,5180900.0,,,,,20.309999,20.610001,20.639999,-0.059999,-0.270001,-0.210002
44,2014-03-07,PHM,20.309999,20.620001,20.049999,20.610001,7003600.0,,,,,20.0,20.190001,20.58,-0.270001,-0.309999,-0.039998
45,2014-03-10,PHM,20.0,20.35,19.950001,20.190001,6054400.0,0.9976,0.044,0.845,0.111,19.93,20.07,20.309999,-0.309999,-0.07,0.239999
46,2014-03-11,PHM,19.93,20.299999,19.74,20.07,6075700.0,,,,,19.67,19.639999,20.0,-0.07,-0.26,-0.19
47,2014-03-12,PHM,19.67,19.700001,19.290001,19.639999,7893300.0,,,,,19.18,19.719999,19.93,-0.26,-0.49,-0.23
48,2014-03-13,PHM,19.18,19.77,18.950001,19.719999,11300700.0,,,,,19.15,19.110001,19.67,-0.49,-0.03,0.46
49,2014-03-14,PHM,19.15,19.33,19.0,19.110001,6785300.0,,,,,19.219999,19.190001,19.18,-0.03,0.069999,0.099999
50,2014-03-17,PHM,19.219999,19.469999,19.030001,19.190001,4670700.0,,,,,19.48,19.35,19.15,0.069999,0.260001,0.190002
51,2014-03-18,PHM,19.48,19.629999,19.190001,19.35,4588000.0,,,,,19.610001,20.219999,19.219999,0.260001,0.130001,-0.13
52,2014-03-19,PHM,19.610001,20.32,19.41,20.219999,8565400.0,,,,,19.4,19.68,19.48,0.130001,-0.210001,-0.340002
53,2014-03-20,PHM,19.4,19.76,19.190001,19.68,8640300.0,,,,,19.110001,19.530001,19.610001,-0.210001,-0.289999,-0.079998
54,2014-03-21,PHM,19.110001,19.540001,19.059999,19.530001,8981600.0,,,,,18.84,19.18,19.4,-0.289999,-0.270001,0.019998
55,2014-03-24,PHM,18.84,19.23,18.629999,19.18,7593300.0,,,,,18.799999,18.620001,19.110001,-0.270001,-0.040001,0.23
56,2014-03-25,PHM,18.799999,18.98,18.52,18.620001,7436800.0,,,,,18.57,18.879999,18.84,-0.040001,-0.229999,-0.189998
57,2014-03-26,PHM,18.57,19.01,18.57,18.879999,5565800.0,,,,,18.68,18.59,18.799999,-0.229999,0.11,0.339999
58,2014-03-27,PHM,18.68,18.91,18.389999,18.59,6906300.0,,,,,19.01,18.77,18.57,0.11,0.33,0.22
59,2014-03-28,PHM,19.01,19.15,18.690001,18.77,5514100.0,,,,,19.190001,19.120001,18.68,0.33,0.180001,-0.149999
60,2014-03-31,PHM,19.190001,19.370001,18.83,19.120001,4711100.0,,,,,19.629999,19.209999,19.01,0.180001,0.439998,0.259997
61,2014-04-01,PHM,19.629999,19.690001,19.110001,19.209999,6404300.0,,,,,19.690001,19.639999,19.190001,0.439998,0.060002,-0.379996
62,2014-04-02,PHM,19.690001,19.799999,19.4,19.639999,4419200.0,,,,,19.709999,19.65,19.629999,0.060002,0.019998,-0.040004
63,2014-04-03,PHM,19.709999,19.790001,19.370001,19.65,3363000.0,,,,,19.49,19.799999,19.690001,0.019998,-0.219999,-0.239997
64,2014-04-04,PHM,19.49,20.15,19.299999,19.799999,7975000.0,,,,,19.030001,19.459999,19.709999,-0.219999,-0.459999,-0.24
65,2014-04-07,PHM,19.030001,19.52,18.860001,19.459999,6499400.0,,,,,19.120001,19.07,19.49,-0.459999,0.09,0.549999
66,2014-04-08,PHM,19.120001,19.34,18.93,19.07,7261700.0,,,,,19.15,19.200001,19.030001,0.09,0.029999,-0.060001
67,2014-04-09,PHM,19.15,19.290001,18.709999,19.200001,5991200.0,,,,,18.940001,19.17,19.120001,0.029999,-0.209999,-0.239998
68,2014-04-10,PHM,18.940001,19.440001,18.940001,19.17,5512800.0,,,,,18.709999,18.809999,19.15,-0.209999,-0.230002,-0.020003
69,2014-04-11,PHM,18.709999,19.08,18.6,18.809999,5091100.0,,,,,18.76,18.84,18.940001,-0.230002,0.050001,0.280003
70,2014-04-14,PHM,18.76,18.99,18.610001,18.84,3494600.0,,,,,18.690001,18.77,18.709999,0.050001,-0.069999,-0.12
71,2014-04-15,PHM,18.690001,19.09,18.309999,18.77,5934600.0,,,,,18.9,18.77,18.76,-0.069999,0.209999,0.279998
72,2014-04-16,PHM,18.9,18.99,18.549999,18.77,3779900.0,,,,,18.709999,18.9,18.690001,0.209999,-0.190001,-0.4
73,2014-04-17,PHM,18.709999,18.950001,18.610001,18.9,4609200.0,,,,,18.719999,18.700001,18.9,-0.190001,0.01,0.200001
74,2014-04-21,PHM,18.719999,18.780001,18.43,18.700001,6211900.0,,,,,18.67,18.700001,18.709999,0.01,-0.049999,-0.059999
75,2014-04-22,PHM,18.67,18.940001,18.620001,18.700001,5880800.0,,,,,18.57,18.68,18.719999,-0.049999,-0.1,-0.050001
76,2014-04-23,PHM,18.57,18.690001,18.200001,18.68,9282800.0,,,,,18.99,19.309999,18.67,-0.1,0.42,0.52
77,2014-04-24,PHM,18.99,19.360001,18.719999,19.309999,10742300.0,0.72084,0.0396,0.8776,0.0824,18.440001,18.85,18.57,0.42,-0.549999,-0.969999
78,2014-04-25,PHM,18.440001,18.92,18.32,18.85,8624000.0,,,,,18.25,18.459999,18.99,-0.549999,-0.190001,0.359998
79,2014-04-28,PHM,18.25,18.969999,18.17,18.459999,8919100.0,,,,,18.32,18.25,18.440001,-0.190001,0.07,0.260001
80,2014-04-29,PHM,18.32,18.43,18.09,18.25,4801100.0,,,,,18.389999,18.280001,18.25,0.07,0.069999,-1.00000000103e-06
81,2014-04-30,PHM,18.389999,18.450001,18.15,18.280001,4228200.0,,,,,18.530001,18.41,18.32,0.069999,0.140002,0.070003
82,2014-05-01,PHM,18.530001,18.84,18.360001,18.41,4380900.0,,,,,18.709999,18.5,18.389999,0.140002,0.179998,0.039996
83,2014-05-02,PHM,18.709999,18.950001,18.43,18.5,4496400.0,,,,,18.51,18.610001,18.530001,0.179998,-0.199999,-0.379997
84,2014-05-05,PHM,18.51,18.76,18.4,18.610001,3675200.0,,,,,18.27,18.459999,18.709999,-0.199999,-0.24,-0.040001
85,2014-05-06,PHM,18.27,18.5,18.110001,18.459999,6564100.0,,,,,18.200001,18.309999,18.51,-0.24,-0.069999,0.170001
86,2014-05-07,PHM,18.200001,18.379999,18.049999,18.309999,4548300.0,,,,,18.16,18.209999,18.27,-0.069999,-0.040001,0.029998
87,2014-05-08,PHM,18.16,18.469999,18.02,18.209999,6043700.0,,,,,18.32,18.1,18.200001,-0.040001,0.16,0.200001
88,2014-05-09,PHM,18.32,18.389999,18.01,18.1,5857600.0,,,,,18.84,18.4,18.16,0.16,0.52,0.36
89,2014-05-12,PHM,18.84,18.950001,18.4,18.4,8344900.0,,,,,19.1,18.860001,18.32,0.52,0.26,-0.26
90,2014-05-13,PHM,19.1,19.42,18.85,18.860001,11630700.0,,,,,18.719999,19.1,18.84,0.26,-0.380001,-0.640001
91,2014-05-14,PHM,18.719999,19.120001,18.700001,19.1,7655800.0,,,,,18.82,18.639999,19.1,-0.380001,0.100001,0.480002
92,2014-05-15,PHM,18.82,18.91,18.27,18.639999,7244400.0,,,,,18.84,19.01,18.719999,0.100001,0.02,-0.080001
93,2014-05-16,PHM,18.84,19.139999,18.719999,19.01,5616900.0,,,,,18.76,18.76,18.82,0.02,-0.08,-0.1
94,2014-05-19,PHM,18.76,18.82,18.540001,18.76,3873500.0,,,,,18.6,18.690001,18.84,-0.08,-0.16,-0.08
95,2014-05-20,PHM,18.6,18.76,18.379999,18.690001,6409500.0,,,,,18.809999,18.6,18.76,-0.16,0.209999,0.369999
96,2014-05-21,PHM,18.809999,18.83,18.48,18.6,5673500.0,,,,,19.219999,18.809999,18.6,0.209999,0.41,0.200001
97,2014-05-22,PHM,19.219999,19.379999,18.700001,18.809999,6376100.0,,,,,19.700001,19.25,18.809999,0.41,0.480002,0.070002
98,2014-05-23,PHM,19.700001,19.76,19.190001,19.25,9581500.0,,,,,19.799999,19.799999,19.219999,0.480002,0.099998,-0.380004
99,2014-05-27,PHM,19.799999,19.879999,19.51,19.799999,9608900.0,,,,,19.76,20.02,19.700001,0.099998,-0.039999,-0.139997
100,2014-05-28,PHM,19.76,20.15,19.65,20.02,6587700.0,,,,,19.74,19.860001,19.799999,-0.039999,-0.02,0.019999
101,2014-05-29,PHM,19.74,20.059999,19.610001,19.860001,5190000.0,,,,,19.559999,19.67,19.76,-0.02,-0.180001,-0.160001
102,2014-05-30,PHM,19.559999,19.76,19.450001,19.67,4803400.0,,,,,19.65,19.559999,19.74,-0.180001,0.090001,0.270002
103,2014-06-02,PHM,19.65,19.719999,19.440001,19.559999,3934400.0,,,,,19.690001,19.549999,19.559999,0.090001,0.040001,-0.05
104,2014-06-03,PHM,19.690001,19.860001,19.51,19.549999,4719200.0,,,,,19.610001,19.610001,19.65,0.040001,-0.08,-0.120001
105,2014-06-04,PHM,19.610001,19.77,19.4,19.610001,3266100.0,,,,,19.879999,19.6,19.690001,-0.08,0.269998,0.349998
106,2014-06-05,PHM,19.879999,19.969999,19.49,19.6,5248300.0,,,,,20.129999,19.959999,19.610001,0.269998,0.25,-0.019998
107,2014-06-06,PHM,20.129999,20.18,19.91,19.959999,5128900.0,,,,,20.23,20.110001,19.879999,0.25,0.100001,-0.149999
108,2014-06-09,PHM,20.23,20.469999,20.049999,20.110001,5340700.0,,,,,20.129999,20.200001,20.129999,0.100001,-0.100001,-0.200002
109,2014-06-10,PHM,20.129999,20.280001,20.040001,20.200001,3849800.0,,,,,19.629999,20.0,20.23,-0.100001,-0.5,-0.399999
110,2014-06-11,PHM,19.629999,20.040001,19.549999,20.0,5454300.0,,,,,19.58,19.6,20.129999,-0.5,-0.049999,0.450001
111,2014-06-12,PHM,19.58,19.799999,19.440001,19.6,4361200.0,,,,,19.42,19.57,19.629999,-0.049999,-0.16,-0.110001
112,2014-06-13,PHM,19.42,19.610001,19.33,19.57,4385100.0,,,,,19.549999,19.43,19.58,-0.16,0.129999,0.289999
113,2014-06-16,PHM,19.549999,19.67,19.200001,19.43,8488100.0,,,,,19.620001,19.43,19.42,0.129999,0.070002,-0.059997
114,2014-06-17,PHM,19.620001,19.75,19.17,19.43,5040500.0,,,,,19.52,19.6,19.549999,0.070002,-0.100001,-0.170003
