,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,QCOM,73.32,73.769997,73.260002,73.610001,10110200.0,,,,,72.889999,73.330002,,,-0.430001,
1,2014-01-03,QCOM,72.889999,73.480003,72.440002,73.330002,7970400.0,,,,,72.699997,73.080002,73.32,-0.430001,-0.190002,0.239999
2,2014-01-06,QCOM,72.699997,73.199997,72.550003,73.080002,7696200.0,0.9857,0.0075,0.827,0.1655,73.239998,72.800003,72.889999,-0.190002,0.540001,0.730003
3,2014-01-07,QCOM,73.239998,73.309998,72.599998,72.800003,5902700.0,,,,,73.68,73.150002,72.699997,0.540001,0.440002,-0.099999
4,2014-01-08,QCOM,73.68,73.68,72.68,73.150002,8976900.0,,,,,73.910004,74.040001,73.239998,0.440002,0.230004,-0.209998
5,2014-01-09,QCOM,73.910004,74.099998,73.68,74.040001,9067900.0,0.962,0.004,0.9255,0.0705,73.870003,74.110001,73.68,0.230004,-0.040001,-0.270005
6,2014-01-10,QCOM,73.870003,74.5,73.169998,74.110001,8877600.0,,,,,73.220001,73.779999,73.910004,-0.040001,-0.650002,-0.610001
7,2014-01-13,QCOM,73.220001,74.269997,72.830002,73.779999,8576300.0,,,,,73.389999,72.370003,73.870003,-0.650002,0.169998,0.82
8,2014-01-14,QCOM,73.389999,73.699997,72.370003,72.370003,9924300.0,,,,,74.510002,73.470001,73.220001,0.169998,1.120003,0.950005
9,2014-01-15,QCOM,74.510002,74.690002,73.400002,73.470001,10000700.0,,,,,74.720001,74.470001,73.389999,1.120003,0.209999,-0.910004
10,2014-01-16,QCOM,74.720001,74.879997,74.010002,74.470001,10263200.0,,,,,74.730003,74.699997,74.510002,0.209999,0.010002,-0.199997
11,2014-01-17,QCOM,74.730003,74.980003,74.43,74.699997,12272700.0,,,,,75.459999,75.0,74.720001,0.010002,0.729996,0.719994
12,2014-01-21,QCOM,75.459999,75.57,74.860001,75.0,8806800.0,,,,,75.779999,75.5,74.730003,0.729996,0.32,-0.409996
13,2014-01-22,QCOM,75.779999,75.860001,75.120003,75.5,7242400.0,,,,,75.870003,75.489998,75.459999,0.32,0.090004,-0.229996
14,2014-01-23,QCOM,75.870003,75.900002,75.160004,75.489998,8078300.0,0.843233333333,0.015,0.913,0.0716666666667,74.080002,75.290001,75.779999,0.090004,-1.790001,-1.880005
15,2014-01-24,QCOM,74.080002,75.440002,74.059998,75.290001,11916500.0,0.9955,0.059,0.839,0.102,73.199997,74.010002,75.870003,-1.790001,-0.880005,0.909996
16,2014-01-27,QCOM,73.199997,74.360001,72.739998,74.010002,12580700.0,,,,,71.989998,72.0,74.080002,-0.880005,-1.209999,-0.329994
17,2014-01-28,QCOM,71.989998,73.139999,71.75,72.0,18188900.0,0.822825,0.07225,0.833,0.09475,71.120003,71.400002,73.199997,-1.209999,-0.869995,0.340004
18,2014-01-29,QCOM,71.120003,72.080002,70.980003,71.400002,16625000.0,0.63586,0.0374,0.8796,0.0832,73.260002,72.650002,71.989998,-0.869995,2.139999,3.009994
19,2014-01-30,QCOM,73.260002,73.400002,71.970001,72.650002,17741800.0,0.5095,0.046,0.901,0.053,74.220001,72.68,71.120003,2.139999,0.959999,-1.18
20,2014-01-31,QCOM,74.220001,74.489998,72.620003,72.68,15420700.0,,,,,73.32,73.669998,73.260002,0.959999,-0.900001,-1.86
21,2014-02-03,QCOM,73.32,73.949997,72.93,73.669998,15929600.0,,,,,72.510002,73.400002,74.220001,-0.900001,-0.809998,0.090003
22,2014-02-04,QCOM,72.510002,73.449997,72.279999,73.400002,11704500.0,0.994,0.028,0.868,0.104,72.370003,72.099998,73.32,-0.809998,-0.139999,0.669999
23,2014-02-05,QCOM,72.370003,72.660004,72.029999,72.099998,10481600.0,0.0617,0.043,0.917,0.04,73.239998,72.739998,72.510002,-0.139999,0.869995,1.009994
24,2014-02-06,QCOM,73.239998,73.330002,72.32,72.739998,8178700.0,,,,,74.410004,73.400002,72.370003,0.869995,1.170006,0.300011
25,2014-02-07,QCOM,74.410004,74.470001,73.199997,73.400002,8891200.0,0.9967,0.029,0.863,0.108,74.690002,74.199997,73.239998,1.170006,0.279998,-0.890008
26,2014-02-10,QCOM,74.690002,74.730003,73.889999,74.199997,7598300.0,,,,,75.620003,74.809998,74.410004,0.279998,0.930001,0.650003
27,2014-02-11,QCOM,75.620003,75.730003,74.529999,74.809998,8934900.0,,,,,76.419998,75.660004,74.690002,0.930001,0.799995,-0.130006
28,2014-02-12,QCOM,76.419998,76.650002,75.660004,75.660004,11498600.0,,,,,76.440002,76.0,75.620003,0.799995,0.020004,-0.779991
29,2014-02-13,QCOM,76.440002,76.75,76.0,76.0,9047200.0,,,,,76.279999,76.010002,76.419998,0.020004,-0.160003,-0.180007
30,2014-02-14,QCOM,76.279999,76.419998,75.82,76.010002,8325500.0,,,,,75.599998,76.25,76.440002,-0.160003,-0.680001,-0.519998
31,2014-02-18,QCOM,75.599998,76.25,75.529999,76.25,8850100.0,,,,,75.769997,75.370003,76.279999,-0.680001,0.169999,0.85
32,2014-02-19,QCOM,75.769997,75.989998,75.110001,75.370003,8527600.0,-0.502333333333,0.035,0.604666666667,0.027,75.949997,75.959999,75.599998,0.169999,0.18,0.010001
33,2014-02-20,QCOM,75.949997,76.199997,75.68,75.959999,7194200.0,,,,,75.610001,76.18,75.769997,0.18,-0.339996,-0.519996
34,2014-02-21,QCOM,75.610001,76.550003,75.57,76.18,8725000.0,,,,,75.43,75.970001,75.949997,-0.339996,-0.180001,0.159995
35,2014-02-24,QCOM,75.43,75.989998,75.389999,75.970001,9191900.0,,,,,74.910004,75.620003,75.610001,-0.180001,-0.519996,-0.339995
36,2014-02-25,QCOM,74.910004,75.879997,74.739998,75.620003,6974800.0,,,,,75.050003,75.150002,75.43,-0.519996,0.139999,0.659995
37,2014-02-26,QCOM,75.050003,75.5,74.900002,75.150002,5545900.0,,,,,75.190002,74.889999,74.910004,0.139999,0.139999,0.0
38,2014-02-27,QCOM,75.190002,75.260002,74.5,74.889999,9465100.0,,,,,75.290001,75.410004,75.050003,0.139999,0.099999,-0.04
39,2014-02-28,QCOM,75.290001,75.43,74.849998,75.410004,9451900.0,,,,,73.629997,74.620003,75.190002,0.099999,-1.660004,-1.760003
40,2014-03-03,QCOM,73.629997,74.639999,73.040001,74.620003,11401400.0,,,,,76.110001,75.5,75.290001,-1.660004,2.480004,4.140008
41,2014-03-04,QCOM,76.110001,76.790001,75.349998,75.5,13513600.0,0.91406,0.0222,0.8748,0.103,76.669998,76.440002,73.629997,2.480004,0.559997,-1.920007
