,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2015-01-02,QRVO,70.400002,71.999001,68.010002,69.0,4218700.0,,,,,67.629997,71.230003,,,-2.770005,
1,2015-01-05,QRVO,67.629997,71.300003,67.059998,71.230003,4534700.0,,,,,64.669998,67.93,70.400002,-2.770005,-2.959999,-0.189994
2,2015-01-06,QRVO,64.669998,67.989998,63.02,67.93,3749400.0,,,,,66.650002,65.010002,67.629997,-2.959999,1.980004,4.940003
3,2015-01-07,QRVO,66.650002,66.760002,63.509998,65.010002,2122600.0,,,,,67.690002,67.949997,64.669998,1.980004,1.04,-0.940004
4,2015-01-08,QRVO,67.690002,69.690002,67.129997,67.949997,2510300.0,,,,,67.110001,68.449997,66.650002,1.04,-0.580001,-1.620001
5,2015-01-09,QRVO,67.110001,68.449997,66.610001,68.449997,933900.0,,,,,65.519997,67.389999,67.690002,-0.580001,-1.590004,-1.010003
6,2015-01-12,QRVO,65.519997,67.989998,64.800003,67.389999,1257500.0,,,,,65.019997,65.739998,67.110001,-1.590004,-0.5,1.090004
7,2015-01-13,QRVO,65.019997,67.589996,63.610001,65.739998,1228400.0,,,,,64.589996,64.650002,65.519997,-0.5,-0.430001,0.069999
8,2015-01-14,QRVO,64.589996,65.449997,63.110001,64.650002,979600.0,,,,,64.389999,64.230003,65.019997,-0.430001,-0.199997,0.230004
9,2015-01-15,QRVO,64.389999,64.940002,63.599998,64.230003,1246800.0,,,,,65.809998,64.019997,64.589996,-0.199997,1.419999,1.619996
10,2015-01-16,QRVO,65.809998,66.419998,63.810001,64.019997,1392900.0,,,,,67.959999,65.75,64.389999,1.419999,2.150001,0.730002
11,2015-01-20,QRVO,67.959999,68.199997,65.230003,65.75,1094600.0,,,,,68.839996,67.610001,65.809998,2.150001,0.879997,-1.270004
12,2015-01-21,QRVO,68.839996,70.800003,67.57,67.610001,1451600.0,,,,,70.610001,69.540001,67.959999,0.879997,1.770005,0.890008
13,2015-01-22,QRVO,70.610001,70.68,67.029999,69.540001,1332400.0,,,,,73.370003,70.720001,68.839996,1.770005,2.760002,0.989997
14,2015-01-23,QRVO,73.370003,74.339996,70.57,70.720001,1677100.0,,,,,73.150002,72.400002,70.610001,2.760002,-0.220001,-2.980003
15,2015-01-26,QRVO,73.150002,74.0,72.300003,72.400002,1571800.0,,,,,73.75,73.0,73.370003,-0.220001,0.599998,0.819999
16,2015-01-27,QRVO,73.75,73.879997,71.5,73.0,1246700.0,,,,,75.5,75.0,73.150002,0.599998,1.75,1.150002
17,2015-01-28,QRVO,75.5,78.050003,74.220001,75.0,3063000.0,,,,,75.760002,72.699997,73.75,1.75,0.260002,-1.489998
18,2015-01-29,QRVO,75.760002,75.879997,72.199997,72.699997,2636700.0,,,,,73.870003,74.639999,75.5,0.260002,-1.889999,-2.150001
19,2015-01-30,QRVO,73.870003,75.260002,73.309998,74.639999,1623400.0,,,,,68.720001,73.080002,75.760002,-1.889999,-5.150002,-3.260003
20,2015-02-02,QRVO,68.720001,74.0,66.879997,73.080002,3348300.0,,,,,68.519997,68.739998,73.870003,-5.150002,-0.200004,4.949998
21,2015-02-03,QRVO,68.519997,70.0,67.050003,68.739998,2551800.0,,,,,68.330002,67.529999,68.720001,-0.200004,-0.189995,0.010009
22,2015-02-04,QRVO,68.330002,69.400002,66.760002,67.529999,1499600.0,,,,,67.389999,67.660004,68.519997,-0.189995,-0.940003,-0.750008
23,2015-02-05,QRVO,67.389999,68.730003,66.5,67.660004,1322900.0,,,,,65.889999,67.5,68.330002,-0.940003,-1.5,-0.559997
24,2015-02-06,QRVO,65.889999,68.5,65.529999,67.5,1302100.0,,,,,63.740002,65.199997,67.389999,-1.5,-2.149997,-0.649997
25,2015-02-09,QRVO,63.740002,65.823997,63.349998,65.199997,1562800.0,,,,,65.019997,63.869999,65.889999,-2.149997,1.279995,3.429992
26,2015-02-10,QRVO,65.019997,65.120003,63.669998,63.869999,1306600.0,,,,,64.75,64.93,63.740002,1.279995,-0.269997,-1.549992
27,2015-02-11,QRVO,64.75,65.650002,63.169998,64.93,1096600.0,,,,,66.199997,65.629997,65.019997,-0.269997,1.449997,1.719994
28,2015-02-12,QRVO,66.199997,66.330002,65.0,65.629997,1159000.0,,,,,70.029999,66.349998,64.75,1.449997,3.830002,2.380005
29,2015-02-13,QRVO,70.029999,70.269997,65.629997,66.349998,1870200.0,,,,,69.440002,70.0,66.199997,3.830002,-0.589997,-4.419999
30,2015-02-17,QRVO,69.440002,70.0,68.059998,70.0,974000.0,,,,,67.540001,69.150002,70.029999,-0.589997,-1.900001,-1.310004
31,2015-02-18,QRVO,67.540001,70.0,67.309998,69.150002,1056700.0,,,,,65.300003,67.0,69.440002,-1.900001,-2.239998,-0.339997
32,2015-02-19,QRVO,65.300003,68.169998,65.25,67.0,1225400.0,,,,,65.169998,65.57,67.540001,-2.239998,-0.130005,2.109993
33,2015-02-20,QRVO,65.169998,65.769997,64.040001,65.57,1462900.0,,,,,65.050003,65.160004,65.300003,-0.130005,-0.119995,0.01001
34,2015-02-23,QRVO,65.050003,65.879997,64.300003,65.160004,889600.0,,,,,69.339996,65.360001,65.169998,-0.119995,4.289993,4.409988
35,2015-02-24,QRVO,69.339996,69.349998,65.199997,65.360001,1700200.0,,,,,67.209999,68.949997,65.050003,4.289993,-2.129997,-6.41999
36,2015-02-25,QRVO,67.209999,69.279999,66.599998,68.949997,965200.0,,,,,71.529999,68.0,69.339996,-2.129997,4.32,6.449997
37,2015-02-26,QRVO,71.529999,71.720001,67.889999,68.0,2116400.0,,,,,69.400002,70.75,67.209999,4.32,-2.129997,-6.449997
38,2015-02-27,QRVO,69.400002,71.428001,69.199997,70.75,1400900.0,,,,,69.349998,69.389999,71.529999,-2.129997,-0.050004,2.079993
39,2015-03-02,QRVO,69.349998,70.800003,68.800003,69.389999,1127900.0,,,,,70.839996,69.360001,69.400002,-0.050004,1.489998,1.540002
40,2015-03-03,QRVO,70.839996,70.959999,68.349998,69.360001,1508900.0,,,,,72.019997,70.230003,69.349998,1.489998,1.180001,-0.309997
41,2015-03-04,QRVO,72.019997,73.25,70.110001,70.230003,1396500.0,,,,,74.510002,72.199997,70.839996,1.180001,2.490005,1.310004
42,2015-03-05,QRVO,74.510002,75.160004,72.019997,72.199997,1621900.0,,,,,72.980003,73.410004,72.019997,2.490005,-1.529999,-4.020004
43,2015-03-06,QRVO,72.980003,74.5,72.75,73.410004,988100.0,,,,,74.830002,73.239998,74.510002,-1.529999,1.849999,3.379998
44,2015-03-09,QRVO,74.830002,75.449997,73.129997,73.239998,1076500.0,,,,,72.150002,74.129997,72.980003,1.849999,-2.68,-4.529999
45,2015-03-10,QRVO,72.150002,74.309998,71.739998,74.129997,1365500.0,,,,,72.949997,72.669998,74.830002,-2.68,0.799995,3.479995
46,2015-03-11,QRVO,72.949997,73.599998,72.050003,72.669998,1039500.0,,,,,73.419998,73.339996,72.150002,0.799995,0.470001,-0.329994
47,2015-03-12,QRVO,73.419998,74.349998,72.919998,73.339996,794800.0,,,,,72.57,73.349998,72.949997,0.470001,-0.849998,-1.319999
48,2015-03-13,QRVO,72.57,73.989998,71.800003,73.349998,761900.0,,,,,76.330002,74.209999,73.419998,-0.849998,3.760002,4.61
49,2015-03-16,QRVO,76.330002,76.75,74.0,74.209999,1822400.0,,,,,77.709999,76.160004,72.57,3.760002,1.379997,-2.380005
50,2015-03-17,QRVO,77.709999,78.120003,75.900002,76.160004,1824300.0,,,,,79.959999,77.860001,76.330002,1.379997,2.25,0.870003
51,2015-03-18,QRVO,79.959999,80.800003,77.690002,77.860001,2272900.0,,,,,80.379997,81.519997,77.709999,2.25,0.419998,-1.830002
52,2015-03-19,QRVO,80.379997,82.269997,79.209999,81.519997,1886000.0,,,,,80.800003,81.440002,79.959999,0.419998,0.420006,7.99999999401e-06
53,2015-03-20,QRVO,80.800003,81.5,79.695,81.440002,4741000.0,,,,,84.089996,81.150002,80.379997,0.420006,3.289993,2.869987
54,2015-03-23,QRVO,84.089996,84.190002,81.07,81.150002,2000600.0,,,,,83.209999,84.599998,80.800003,3.289993,-0.879997,-4.16999
55,2015-03-24,QRVO,83.209999,85.627998,82.660004,84.599998,1792300.0,,,,,77.129997,83.550003,84.089996,-0.879997,-6.080002,-5.200005
56,2015-03-25,QRVO,77.129997,83.790001,75.519997,83.550003,3728800.0,,,,,77.190002,73.5,83.209999,-6.080002,0.060005,6.140007
57,2015-03-26,QRVO,77.190002,77.75,72.099998,73.5,3005900.0,,,,,79.279999,77.629997,77.129997,0.060005,2.089997,2.029992
58,2015-03-27,QRVO,79.279999,80.690002,77.510002,77.629997,2634900.0,,,,,81.400002,80.220001,77.190002,2.089997,2.120003,0.030006
59,2015-03-30,QRVO,81.400002,81.400002,79.709999,80.220001,1820400.0,,,,,79.699997,80.93,79.279999,2.120003,-1.700005,-3.820008
60,2015-03-31,QRVO,79.699997,81.0,78.550003,80.93,2006900.0,,,,,78.800003,78.529999,81.400002,-1.700005,-0.899994,0.800011
61,2015-04-01,QRVO,78.800003,79.300003,77.809998,78.529999,1430200.0,,,,,77.790001,79.199997,79.699997,-0.899994,-1.010002,-0.110008
62,2015-04-02,QRVO,77.790001,79.199997,76.669998,79.199997,1603800.0,,,,,76.510002,76.879997,78.800003,-1.010002,-1.279999,-0.269997
63,2015-04-06,QRVO,76.510002,77.150002,75.199997,76.879997,1613600.0,,,,,73.230003,77.080002,77.790001,-1.279999,-3.279999,-2.0
64,2015-04-07,QRVO,73.230003,77.690002,72.730003,77.080002,2251100.0,,,,,72.839996,73.800003,76.510002,-3.279999,-0.390007,2.889992
65,2015-04-08,QRVO,72.839996,75.199997,72.510002,73.800003,2108000.0,,,,,74.629997,72.709999,73.230003,-0.390007,1.790001,2.180008
66,2015-04-09,QRVO,74.629997,74.900002,71.220001,72.709999,1385100.0,,,,,73.580002,75.610001,72.839996,1.790001,-1.049995,-2.839996
67,2015-04-10,QRVO,73.580002,75.93,72.760002,75.610001,1315300.0,,,,,72.629997,73.790001,74.629997,-1.049995,-0.950005,0.09999
68,2015-04-13,QRVO,72.629997,75.120003,72.110001,73.790001,1242800.0,,,,,70.5,72.379997,73.580002,-0.950005,-2.129997,-1.179992
69,2015-04-14,QRVO,70.5,73.169998,69.300003,72.379997,2457100.0,,,,,70.910004,71.0,72.629997,-2.129997,0.410004,2.540001
70,2015-04-15,QRVO,70.910004,72.0,69.370003,71.0,1714600.0,,,,,71.459999,70.800003,70.5,0.410004,0.549995,0.139991
71,2015-04-16,QRVO,71.459999,71.5,68.610001,70.800003,1495500.0,,,,,70.07,70.699997,70.910004,0.549995,-1.389999,-1.939994
