,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,RRC,81.739998,84.279999,81.080002,83.129997,1996500.0,,,,,80.529999,82.0,,,-1.209999,
1,2014-01-03,RRC,80.529999,82.5,80.400002,82.0,1812700.0,,,,,81.050003,81.059998,81.739998,-1.209999,0.520004,1.730003
2,2014-01-06,RRC,81.050003,81.360001,80.059998,81.059998,1730300.0,,,,,82.43,81.629997,80.529999,0.520004,1.379997,0.859993
3,2014-01-07,RRC,82.43,83.099998,81.629997,81.629997,1269700.0,,,,,82.519997,82.18,81.050003,1.379997,0.089997,-1.29
4,2014-01-08,RRC,82.519997,83.489998,81.769997,82.18,1304200.0,,,,,81.230003,82.559998,82.43,0.089997,-1.289994,-1.379991
5,2014-01-09,RRC,81.230003,83.050003,80.459999,82.559998,1607300.0,,,,,81.709999,81.849998,82.519997,-1.289994,0.479996,1.76999
6,2014-01-10,RRC,81.709999,82.050003,80.889999,81.849998,898300.0,,,,,79.669998,81.75,81.230003,0.479996,-2.040001,-2.519997
7,2014-01-13,RRC,79.669998,82.290001,79.559998,81.75,1766200.0,,,,,82.169998,79.279999,81.709999,-2.040001,2.5,4.540001
8,2014-01-14,RRC,82.169998,82.25,79.279999,79.279999,1465800.0,,,,,83.720001,82.510002,79.669998,2.5,1.550003,-0.949997
9,2014-01-15,RRC,83.720001,83.800003,81.730003,82.510002,1546200.0,,,,,83.970001,84.099998,82.169998,1.550003,0.25,-1.300003
10,2014-01-16,RRC,83.970001,84.970001,83.0,84.099998,1662800.0,,,,,82.639999,84.43,83.720001,0.25,-1.330002,-1.580002
11,2014-01-17,RRC,82.639999,84.43,82.610001,84.43,1389800.0,,,,,84.93,82.959999,83.970001,-1.330002,2.290001,3.620003
12,2014-01-21,RRC,84.93,85.0,82.309998,82.959999,1415100.0,,,,,87.419998,87.190002,82.639999,2.290001,2.489998,0.199997
13,2014-01-22,RRC,87.419998,88.239998,86.260002,87.190002,2185000.0,,,,,86.68,88.050003,84.93,2.489998,-0.739998,-3.229996
14,2014-01-23,RRC,86.68,88.709999,86.220001,88.050003,1745400.0,,,,,86.150002,86.120003,87.419998,-0.739998,-0.529998,0.21
15,2014-01-24,RRC,86.150002,87.099998,85.010002,86.120003,2259200.0,,,,,84.260002,86.0,86.68,-0.529998,-1.89,-1.360002
16,2014-01-27,RRC,84.260002,86.150002,83.0,86.0,1596800.0,,,,,86.519997,84.730003,86.150002,-1.89,2.259995,4.149995
17,2014-01-28,RRC,86.519997,86.589996,84.43,84.730003,1356700.0,,,,,85.260002,85.010002,84.260002,2.259995,-1.259995,-3.51999
18,2014-01-29,RRC,85.260002,87.849998,84.349998,85.010002,2863300.0,,,,,85.459999,84.629997,86.519997,-1.259995,0.199997,1.459992
19,2014-01-30,RRC,85.459999,86.5,84.620003,84.629997,2145200.0,,,,,86.190002,84.120003,85.260002,0.199997,0.730003,0.530006
20,2014-01-31,RRC,86.190002,86.809998,84.010002,84.120003,1648400.0,,,,,84.989998,86.5,85.459999,0.730003,-1.200004,-1.930007
21,2014-02-03,RRC,84.989998,87.290001,84.830002,86.5,1471700.0,,,,,87.650002,86.209999,86.190002,-1.200004,2.660004,3.860008
22,2014-02-04,RRC,87.650002,88.82,86.209999,86.209999,2376500.0,,,,,86.129997,88.129997,84.989998,2.660004,-1.520005,-4.180009
23,2014-02-05,RRC,86.129997,88.879997,85.769997,88.129997,2606000.0,,,,,83.989998,86.410004,87.650002,-1.520005,-2.139999,-0.619994
24,2014-02-06,RRC,83.989998,87.290001,83.010002,86.410004,3591800.0,,,,,84.029999,84.050003,86.129997,-2.139999,0.040001,2.18
25,2014-02-07,RRC,84.029999,84.800003,82.370003,84.050003,2448600.0,,,,,84.389999,83.580002,83.989998,0.040001,0.36,0.319999
26,2014-02-10,RRC,84.389999,84.419998,82.910004,83.580002,1544300.0,,,,,84.889999,84.370003,84.029999,0.36,0.5,0.14
27,2014-02-11,RRC,84.889999,85.139999,83.959999,84.370003,1462200.0,,,,,84.529999,85.309998,84.389999,0.5,-0.36,-0.86
28,2014-02-12,RRC,84.529999,85.769997,83.919998,85.309998,921200.0,,,,,84.209999,83.730003,84.889999,-0.36,-0.32,0.04
29,2014-02-13,RRC,84.209999,85.050003,82.970001,83.730003,1347300.0,,,,,85.489998,84.550003,84.529999,-0.32,1.279999,1.599999
30,2014-02-14,RRC,85.489998,85.879997,83.93,84.550003,1355300.0,,,,,86.800003,85.419998,84.209999,1.279999,1.310005,0.030006
31,2014-02-18,RRC,86.800003,87.080002,85.309998,85.419998,1395300.0,,,,,87.580002,86.809998,85.489998,1.310005,0.779999,-0.530006
32,2014-02-19,RRC,87.580002,88.489998,86.489998,86.809998,1745700.0,,,,,87.519997,86.720001,86.800003,0.779999,-0.060005,-0.840004
33,2014-02-20,RRC,87.519997,87.75,85.540001,86.720001,2089000.0,,,,,85.669998,87.139999,87.580002,-0.060005,-1.849999,-1.789994
34,2014-02-21,RRC,85.669998,87.510002,85.480003,87.139999,2461800.0,,,,,87.529999,86.190002,87.519997,-1.849999,1.860001,3.71
35,2014-02-24,RRC,87.529999,89.190002,85.879997,86.190002,2098600.0,,,,,86.900002,86.910004,85.669998,1.860001,-0.629997,-2.489998
36,2014-02-25,RRC,86.900002,87.059998,85.360001,86.910004,1511700.0,,,,,84.940002,87.610001,87.529999,-0.629997,-1.96,-1.330003
37,2014-02-26,RRC,84.940002,90.760002,82.690002,87.610001,3875400.0,,,,,86.760002,84.959999,86.900002,-1.96,1.82,3.78
38,2014-02-27,RRC,86.760002,87.300003,84.949997,84.959999,1833100.0,,,,,86.050003,86.830002,84.940002,1.82,-0.709999,-2.529999
39,2014-02-28,RRC,86.050003,87.739998,85.389999,86.830002,1759000.0,,,,,84.910004,85.790001,86.760002,-0.709999,-1.139999,-0.43
40,2014-03-03,RRC,84.910004,86.93,84.540001,85.790001,1729500.0,,,,,85.459999,85.559998,86.050003,-1.139999,0.549995,1.689994
41,2014-03-04,RRC,85.459999,86.059998,84.410004,85.559998,1369900.0,,,,,83.410004,85.339996,84.910004,0.549995,-2.049995,-2.59999
42,2014-03-05,RRC,83.410004,85.489998,83.010002,85.339996,1956600.0,,,,,84.230003,83.419998,85.459999,-2.049995,0.819999,2.869994
43,2014-03-06,RRC,84.230003,84.57,82.389999,83.419998,1415400.0,,,,,85.080002,84.650002,83.410004,0.819999,0.849999,0.03
44,2014-03-07,RRC,85.080002,85.449997,84.370003,84.650002,1314800.0,,,,,86.760002,87.879997,84.230003,0.849999,1.68,0.830001
45,2014-03-10,RRC,86.760002,87.879997,84.360001,87.879997,1736800.0,,,,,86.940002,86.690002,85.080002,1.68,0.18,-1.5
46,2014-03-11,RRC,86.940002,88.0,85.940002,86.690002,2094800.0,,,,,86.129997,85.980003,86.760002,0.18,-0.810005,-0.990005
47,2014-03-12,RRC,86.129997,87.199997,85.68,85.980003,1552000.0,,,,,86.589996,85.639999,86.940002,-0.810005,0.459999,1.270004
48,2014-03-13,RRC,86.589996,87.730003,85.540001,85.639999,1671100.0,,,,,87.720001,86.400002,86.129997,0.459999,1.130005,0.670006
49,2014-03-14,RRC,87.720001,87.970001,86.169998,86.400002,1713400.0,,,,,88.220001,88.199997,86.589996,1.130005,0.5,-0.630005
50,2014-03-17,RRC,88.220001,89.620003,86.900002,88.199997,2060700.0,,,,,88.660004,88.349998,87.720001,0.5,0.440003,-0.059997
51,2014-03-18,RRC,88.660004,89.68,88.010002,88.349998,1457400.0,,,,,87.239998,88.75,88.220001,0.440003,-1.420006,-1.860009
52,2014-03-19,RRC,87.239998,88.75,86.82,88.75,1218200.0,,,,,87.550003,86.769997,88.660004,-1.420006,0.310005,1.730011
53,2014-03-20,RRC,87.550003,87.919998,86.0,86.769997,1259300.0,,,,,87.160004,88.690002,87.239998,0.310005,-0.389999,-0.700004
54,2014-03-21,RRC,87.160004,88.690002,86.519997,88.690002,2078100.0,,,,,86.330002,87.589996,87.550003,-0.389999,-0.830002,-0.440003
55,2014-03-24,RRC,86.330002,87.839996,86.150002,87.589996,1089100.0,,,,,86.139999,86.900002,87.160004,-0.830002,-0.190003,0.639999
56,2014-03-25,RRC,86.139999,87.919998,86.080002,86.900002,1253900.0,,,,,84.629997,86.459999,86.330002,-0.190003,-1.510002,-1.319999
57,2014-03-26,RRC,84.629997,86.809998,84.519997,86.459999,2436300.0,,,,,85.25,84.730003,86.139999,-1.510002,0.620003,2.130005
58,2014-03-27,RRC,85.25,85.449997,83.580002,84.730003,1642300.0,,,,,85.230003,86.040001,84.629997,0.620003,-0.019997,-0.64
59,2014-03-28,RRC,85.230003,86.260002,84.959999,86.040001,1309100.0,,,,,82.970001,85.269997,85.25,-0.019997,-2.260002,-2.240005
60,2014-03-31,RRC,82.970001,85.639999,82.830002,85.269997,2108900.0,,,,,84.040001,83.209999,85.230003,-2.260002,1.07,3.330002
61,2014-04-01,RRC,84.040001,84.419998,82.629997,83.209999,1636900.0,,,,,85.860001,84.169998,82.970001,1.07,1.82,0.75
62,2014-04-02,RRC,85.860001,86.269997,83.660004,84.169998,1664200.0,,,,,87.82,86.419998,84.040001,1.82,1.959999,0.139999
63,2014-04-03,RRC,87.82,88.410004,86.309998,86.419998,2133000.0,,,,,86.529999,88.18,85.860001,1.959999,-1.290001,-3.25
64,2014-04-04,RRC,86.529999,88.360001,86.32,88.18,1787400.0,,,,,85.419998,86.650002,87.82,-1.290001,-1.110001,0.18
65,2014-04-07,RRC,85.419998,87.730003,85.150002,86.650002,1156300.0,,,,,88.639999,85.470001,86.529999,-1.110001,3.220001,4.330002
