,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,SIG,78.709999,79.529999,78.330002,78.709999,767900.0,,,,,78.720001,78.93,,,0.010002,
1,2014-01-03,SIG,78.720001,79.870003,78.480003,78.93,595500.0,,,,,79.32,79.370003,78.709999,0.010002,0.599999,0.589997
2,2014-01-06,SIG,79.32,80.18,78.790001,79.370003,1024200.0,,,,,80.059998,79.449997,78.720001,0.599999,0.739998,0.139999
3,2014-01-07,SIG,80.059998,80.139999,78.669998,79.449997,874100.0,,,,,79.669998,79.910004,79.32,0.739998,-0.39,-1.129998
4,2014-01-08,SIG,79.669998,79.93,79.269997,79.910004,545100.0,,,,,73.629997,74.339996,80.059998,-0.39,-6.040001,-5.650001
5,2014-01-09,SIG,73.629997,75.690002,73.199997,74.339996,3129300.0,,,,,71.43,73.769997,79.669998,-6.040001,-2.199997,3.840004
6,2014-01-10,SIG,71.43,74.0,71.400002,73.769997,2170500.0,,,,,70.120003,71.269997,73.629997,-2.199997,-1.309997,0.89
7,2014-01-13,SIG,70.120003,71.599998,69.489998,71.269997,1866100.0,,,,,72.669998,69.900002,71.43,-1.309997,2.549995,3.859992
8,2014-01-14,SIG,72.669998,72.82,69.580002,69.900002,2209200.0,,,,,73.220001,72.739998,70.120003,2.549995,0.550003,-1.999992
9,2014-01-15,SIG,73.220001,73.410004,72.18,72.739998,1266400.0,,,,,73.099998,73.160004,72.669998,0.550003,-0.120003,-0.670006
10,2014-01-16,SIG,73.099998,73.5,72.230003,73.160004,746800.0,,,,,75.419998,73.339996,73.220001,-0.120003,2.32,2.440003
11,2014-01-17,SIG,75.419998,75.449997,73.059998,73.339996,1597100.0,,,,,75.330002,75.769997,73.099998,2.32,-0.089996,-2.409996
12,2014-01-21,SIG,75.330002,75.970001,74.860001,75.769997,1404800.0,,,,,75.699997,75.610001,75.419998,-0.089996,0.369995,0.459991
13,2014-01-22,SIG,75.699997,75.959999,75.010002,75.610001,755100.0,,,,,75.800003,75.339996,75.330002,0.369995,0.100006,-0.269989
14,2014-01-23,SIG,75.800003,75.830002,74.940002,75.339996,1248500.0,,,,,74.470001,75.379997,75.699997,0.100006,-1.330002,-1.430008
15,2014-01-24,SIG,74.470001,75.650002,74.339996,75.379997,1385800.0,,,,,79.019997,76.970001,75.800003,-1.330002,4.549996,5.879998
16,2014-01-27,SIG,79.019997,79.690002,76.779999,76.970001,2883600.0,,,,,79.949997,78.900002,74.470001,4.549996,0.93,-3.619996
17,2014-01-28,SIG,79.949997,79.980003,78.900002,78.900002,2039900.0,,,,,79.550003,79.5,79.019997,0.93,-0.399994,-1.329994
