,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,SLG,91.980003,92.769997,91.18,92.169998,614600.0,,,,,92.809998,92.07,,,0.829995,
1,2014-01-03,SLG,92.809998,93.650002,91.970001,92.07,690000.0,,,,,92.309998,92.919998,91.980003,0.829995,-0.5,-1.329995
2,2014-01-06,SLG,92.309998,93.32,92.139999,92.919998,717100.0,,,,,93.139999,92.269997,92.809998,-0.5,0.830001,1.330001
3,2014-01-07,SLG,93.139999,93.43,91.620003,92.269997,508600.0,,,,,93.050003,93.32,92.309998,0.830001,-0.089996,-0.919997
4,2014-01-08,SLG,93.050003,93.660004,92.529999,93.32,520900.0,,,,,92.489998,93.120003,93.139999,-0.089996,-0.560005,-0.470009
5,2014-01-09,SLG,92.489998,93.18,91.260002,93.120003,637500.0,,,,,92.809998,92.860001,93.050003,-0.560005,0.32,0.880005
6,2014-01-10,SLG,92.809998,93.309998,92.269997,92.860001,542000.0,,,,,92.150002,92.730003,92.489998,0.32,-0.659996,-0.979996
7,2014-01-13,SLG,92.150002,93.25,91.660004,92.730003,396500.0,,,,,92.830002,92.459999,92.809998,-0.659996,0.68,1.339996
8,2014-01-14,SLG,92.830002,93.050003,91.82,92.459999,498600.0,,,,,93.68,92.900002,92.150002,0.68,0.849998,0.169998
9,2014-01-15,SLG,93.68,93.849998,92.57,92.900002,366100.0,,,,,93.5,93.190002,92.830002,0.849998,-0.18,-1.029998
10,2014-01-16,SLG,93.5,93.739998,92.830002,93.190002,304100.0,,,,,92.989998,93.260002,93.68,-0.18,-0.510002,-0.330002
11,2014-01-17,SLG,92.989998,93.5,92.699997,93.260002,348000.0,,,,,93.849998,93.559998,93.5,-0.510002,0.86,1.370002
12,2014-01-21,SLG,93.849998,93.959999,93.07,93.559998,398300.0,,,,,94.440002,93.959999,92.989998,0.86,0.590004,-0.269996
13,2014-01-22,SLG,94.440002,94.889999,93.629997,93.959999,499800.0,,,,,93.93,94.309998,93.849998,0.590004,-0.510002,-1.100006
14,2014-01-23,SLG,93.93,94.800003,93.589996,94.309998,502900.0,,,,,92.040001,93.730003,94.440002,-0.510002,-1.889999,-1.379997
15,2014-01-24,SLG,92.040001,93.970001,91.989998,93.730003,469400.0,,,,,91.339996,92.040001,93.93,-1.889999,-0.700005,1.189994
16,2014-01-27,SLG,91.339996,92.940002,91.110001,92.040001,595900.0,,,,,92.919998,91.760002,92.040001,-0.700005,1.580002,2.280007
17,2014-01-28,SLG,92.919998,93.629997,91.760002,91.760002,830500.0,,,,,92.019997,92.550003,91.339996,1.580002,-0.900001,-2.480003
18,2014-01-29,SLG,92.019997,93.239998,91.459999,92.550003,541000.0,,,,,93.739998,91.940002,92.919998,-0.900001,1.720001,2.620002
19,2014-01-30,SLG,93.739998,93.989998,91.099998,91.940002,595800.0,,,,,93.769997,92.650002,92.019997,1.720001,0.029999,-1.690002
20,2014-01-31,SLG,93.769997,94.669998,92.639999,92.650002,706500.0,,,,,90.959999,93.860001,93.739998,0.029999,-2.809998,-2.839997
