,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,STX,55.41,55.93,55.080002,55.93,3023500.0,,,,,56.82,55.610001,,,1.41,
1,2014-01-03,STX,56.82,57.139999,55.310001,55.610001,3049400.0,,,,,56.950001,56.740002,55.41,1.41,0.130001,-1.279999
2,2014-01-06,STX,56.950001,57.57,56.549999,56.740002,3258100.0,,,,,58.799999,57.080002,56.82,0.130001,1.849998,1.719997
3,2014-01-07,STX,58.799999,59.16,56.82,57.080002,4676400.0,,,,,59.630001,58.779999,56.950001,1.849998,0.830002,-1.019996
4,2014-01-08,STX,59.630001,60.799999,58.709999,58.779999,4520200.0,,,,,58.009998,59.700001,58.799999,0.830002,-1.620003,-2.450005
5,2014-01-09,STX,58.009998,59.709999,57.560001,59.700001,3896600.0,,,,,58.389999,58.349998,59.630001,-1.620003,0.380001,2.000004
6,2014-01-10,STX,58.389999,58.68,57.700001,58.349998,2044500.0,,,,,58.540001,58.650002,58.009998,0.380001,0.150002,-0.229999
7,2014-01-13,STX,58.540001,60.16,58.389999,58.650002,3506600.0,,,,,60.330002,59.0,58.389999,0.150002,1.790001,1.639999
8,2014-01-14,STX,60.330002,60.5,58.560001,59.0,3112600.0,,,,,60.84,60.380001,58.540001,1.790001,0.509998,-1.280003
9,2014-01-15,STX,60.84,61.32,60.209999,60.380001,2682900.0,,,,,60.66,61.009998,60.330002,0.509998,-0.18,-0.689998
10,2014-01-16,STX,60.66,61.099998,60.41,61.009998,2212700.0,,,,,61.200001,60.349998,60.84,-0.18,0.540001,0.720001
11,2014-01-17,STX,61.200001,61.389999,59.700001,60.349998,3437000.0,,,,,61.240002,62.099998,60.66,0.540001,0.040001,-0.5
12,2014-01-21,STX,61.240002,62.759998,61.040001,62.099998,2869600.0,,,,,61.0,61.610001,61.200001,0.040001,-0.240002,-0.280003
13,2014-01-22,STX,61.0,62.049999,60.93,61.610001,3301500.0,,,,,60.740002,59.779999,61.240002,-0.240002,-0.259998,-0.019996
14,2014-01-23,STX,60.740002,60.869999,59.689999,59.779999,3985500.0,,,,,58.57,60.41,61.0,-0.259998,-2.170002,-1.910004
15,2014-01-24,STX,58.57,60.439999,58.459999,60.41,3498900.0,,,,,58.049999,58.57,60.740002,-2.170002,-0.520001,1.650001
16,2014-01-27,STX,58.049999,58.869999,57.869999,58.57,4236400.0,0.8074,0.0415,0.8495,0.109,51.52,53.720001,58.57,-0.520001,-6.529999,-6.009998
17,2014-01-28,STX,51.52,54.599998,50.5,53.720001,17575200.0,0.90715,0.0425,0.8775,0.079,53.650002,51.5,58.049999,-6.529999,2.130002,8.660001
18,2014-01-29,STX,53.650002,53.959999,51.349998,51.5,5861100.0,,,,,53.099998,53.650002,51.52,2.130002,-0.550004,-2.680006
19,2014-01-30,STX,53.099998,54.279999,52.939999,53.650002,4392200.0,,,,,52.860001,52.5,53.650002,-0.550004,-0.239997,0.310007
20,2014-01-31,STX,52.860001,53.330002,52.119999,52.5,3402900.0,,,,,51.09,53.009998,53.099998,-0.239997,-1.770001,-1.530004
21,2014-02-03,STX,51.09,53.41,50.529999,53.009998,4608700.0,,,,,49.990002,51.18,52.860001,-1.770001,-1.099998,0.670003
22,2014-02-04,STX,49.990002,51.5,49.299999,51.18,4807900.0,,,,,49.110001,49.77,51.09,-1.099998,-0.880001,0.219997
23,2014-02-05,STX,49.110001,50.470001,48.209999,49.77,6074400.0,,,,,49.189999,48.689999,49.990002,-0.880001,0.079998,0.959999
24,2014-02-06,STX,49.189999,49.709999,48.689999,48.689999,3545300.0,,,,,49.52,49.490002,49.110001,0.079998,0.330001,0.250003
25,2014-02-07,STX,49.52,50.169998,48.889999,49.490002,3575800.0,,,,,49.889999,49.52,49.189999,0.330001,0.369999,0.039998
26,2014-02-10,STX,49.889999,50.060001,48.939999,49.52,3161300.0,,,,,49.369999,49.810001,49.52,0.369999,-0.52,-0.889999
27,2014-02-11,STX,49.369999,50.0,49.290001,49.810001,2919700.0,,,,,49.209999,49.73,49.889999,-0.52,-0.16,0.36
28,2014-02-12,STX,49.209999,50.27,49.169998,49.73,3547900.0,,,,,49.599998,49.110001,49.369999,-0.16,0.389999,0.549999
29,2014-02-13,STX,49.599998,50.0,48.709999,49.110001,3320300.0,,,,,50.139999,49.450001,49.209999,0.389999,0.540001,0.150002
30,2014-02-14,STX,50.139999,50.419998,49.43,49.450001,2690300.0,,,,,49.709999,50.509998,49.599998,0.540001,-0.43,-0.970001
31,2014-02-18,STX,49.709999,50.970001,49.700001,50.509998,2940400.0,,,,,49.029999,49.650002,50.139999,-0.43,-0.68,-0.25
32,2014-02-19,STX,49.029999,49.919998,49.009998,49.650002,2390000.0,,,,,50.02,49.279999,49.709999,-0.68,0.990001,1.670001
33,2014-02-20,STX,50.02,50.360001,49.029999,49.279999,3000400.0,,,,,50.75,51.549999,49.029999,0.990001,0.73,-0.260001
34,2014-02-21,STX,50.75,51.799999,50.740002,51.549999,3686800.0,,,,,51.16,50.93,50.02,0.73,0.41,-0.32
35,2014-02-24,STX,51.16,51.68,50.5,50.93,2698500.0,,,,,50.689999,51.509998,50.75,0.41,-0.470001,-0.880001
36,2014-02-25,STX,50.689999,51.509998,50.360001,51.509998,1958000.0,,,,,51.73,50.799999,51.16,-0.470001,1.040001,1.510002
37,2014-02-26,STX,51.73,52.48,50.580002,50.799999,2697300.0,,,,,51.919998,51.689999,50.689999,1.040001,0.189998,-0.850003
38,2014-02-27,STX,51.919998,52.029999,51.040001,51.689999,2033700.0,,,,,52.189999,52.0,51.73,0.189998,0.270001,0.080003
39,2014-02-28,STX,52.189999,52.669998,51.32,52.0,4163100.0,,,,,52.290001,51.75,51.919998,0.270001,0.100002,-0.169999
40,2014-03-03,STX,52.290001,52.41,51.34,51.75,2555200.0,,,,,53.18,52.669998,52.189999,0.100002,0.889999,0.789997
41,2014-03-04,STX,53.18,53.369999,52.48,52.669998,3121600.0,,,,,52.560001,52.93,52.290001,0.889999,-0.619999,-1.509998
42,2014-03-05,STX,52.560001,53.439999,52.310001,52.93,2590700.0,,,,,50.099998,52.549999,53.18,-0.619999,-2.460003,-1.840004
43,2014-03-06,STX,50.099998,52.549999,49.529999,52.549999,6315300.0,,,,,49.290001,50.299999,52.560001,-2.460003,-0.809997,1.650006
44,2014-03-07,STX,49.290001,50.619999,48.599998,50.299999,5123800.0,,,,,50.139999,49.470001,50.099998,-0.809997,0.849998,1.659995
45,2014-03-10,STX,50.139999,50.73,49.349998,49.470001,3592900.0,,,,,49.880001,50.41,49.290001,0.849998,-0.259998,-1.109996
46,2014-03-11,STX,49.880001,50.810001,49.369999,50.41,3179600.0,,,,,50.75,49.560001,50.139999,-0.259998,0.869999,1.129997
47,2014-03-12,STX,50.75,51.0,49.43,49.560001,2910800.0,,,,,49.77,50.68,49.880001,0.869999,-0.98,-1.849999
48,2014-03-13,STX,49.77,50.950001,49.540001,50.68,3383900.0,,,,,50.150002,49.610001,50.75,-0.98,0.380002,1.360002
49,2014-03-14,STX,50.150002,50.77,49.610001,49.610001,2066800.0,,,,,50.720001,50.32,49.77,0.380002,0.569999,0.189997
50,2014-03-17,STX,50.720001,51.830002,50.299999,50.32,3092100.0,,,,,51.93,50.529999,50.150002,0.569999,1.209999,0.64
51,2014-03-18,STX,51.93,52.02,50.450001,50.529999,3275000.0,,,,,51.669998,51.720001,50.720001,1.209999,-0.260002,-1.470001
52,2014-03-19,STX,51.669998,52.560001,51.349998,51.720001,3186400.0,,,,,53.099998,51.75,51.93,-0.260002,1.43,1.690002
53,2014-03-20,STX,53.099998,53.66,51.52,51.75,3513900.0,0.83055,0.0045,0.937,0.0585,53.490002,53.93,51.669998,1.43,0.390004,-1.039996
54,2014-03-21,STX,53.490002,54.740002,53.110001,53.93,6306600.0,,,,,53.0,53.529999,53.099998,0.390004,-0.490002,-0.880006
55,2014-03-24,STX,53.0,53.709999,52.150002,53.529999,3426700.0,,,,,55.130001,53.240002,53.490002,-0.490002,2.130001,2.620003
56,2014-03-25,STX,55.130001,55.73,53.02,53.240002,4555600.0,,,,,55.549999,55.400002,53.0,2.130001,0.419998,-1.710003
57,2014-03-26,STX,55.549999,56.75,55.400002,55.400002,4493200.0,,,,,54.810001,56.220001,55.130001,0.419998,-0.739998,-1.159996
58,2014-03-27,STX,54.810001,56.299999,54.459999,56.220001,3485200.0,,,,,54.919998,54.959999,55.549999,-0.739998,0.109997,0.849995
59,2014-03-28,STX,54.919998,55.919998,54.560001,54.959999,2008600.0,,,,,56.16,55.189999,54.810001,0.109997,1.240002,1.130005
60,2014-03-31,STX,56.16,56.669998,54.619999,55.189999,2227400.0,,,,,57.0,56.68,54.919998,1.240002,0.84,-0.400002
