,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,SWKS,27.4,28.34,27.200001,28.299999,3533900.0,,,,,27.719999,27.4,,,0.319999,
1,2014-01-03,SWKS,27.719999,27.75,27.4,27.4,1974200.0,,,,,27.629999,27.870001,27.4,0.319999,-0.09,-0.409999
2,2014-01-06,SWKS,27.629999,27.93,27.35,27.870001,2180200.0,,,,,27.790001,27.65,27.719999,-0.09,0.160002,0.250002
3,2014-01-07,SWKS,27.790001,28.0,27.610001,27.65,1799100.0,,,,,27.92,27.950001,27.629999,0.160002,0.129999,-0.030003
4,2014-01-08,SWKS,27.92,28.040001,27.76,27.950001,2729800.0,,,,,27.719999,28.059999,27.790001,0.129999,-0.200001,-0.33
5,2014-01-09,SWKS,27.719999,28.059999,27.530001,28.059999,2920100.0,,,,,27.75,27.66,27.92,-0.200001,0.030001,0.230002
6,2014-01-10,SWKS,27.75,27.84,27.4,27.66,1956400.0,,,,,28.440001,28.379999,27.719999,0.030001,0.690001,0.66
7,2014-01-13,SWKS,28.440001,29.209999,28.139999,28.379999,4978300.0,,,,,28.92,28.639999,27.75,0.690001,0.479999,-0.210002
8,2014-01-14,SWKS,28.92,29.17,28.610001,28.639999,2492600.0,,,,,29.110001,29.139999,28.440001,0.479999,0.190001,-0.289998
9,2014-01-15,SWKS,29.110001,29.299999,28.9,29.139999,2792300.0,,,,,28.620001,29.110001,28.92,0.190001,-0.49,-0.680001
10,2014-01-16,SWKS,28.620001,29.15,28.379999,29.110001,6589900.0,0.730575,0.01425,0.847,0.13875,30.530001,31.549999,29.110001,-0.49,1.91,2.4
11,2014-01-17,SWKS,30.530001,31.799999,30.27,31.549999,13657000.0,,,,,31.219999,30.610001,28.620001,1.91,0.689998,-1.220002
12,2014-01-21,SWKS,31.219999,31.32,30.559999,30.610001,6947200.0,,,,,31.59,31.370001,30.530001,0.689998,0.370001,-0.319997
13,2014-01-22,SWKS,31.59,31.690001,31.32,31.370001,4008700.0,,,,,31.43,31.549999,31.219999,0.370001,-0.16,-0.530001
14,2014-01-23,SWKS,31.43,31.67,31.02,31.549999,3103300.0,,,,,30.77,31.27,31.59,-0.16,-0.66,-0.5
15,2014-01-24,SWKS,30.77,31.35,30.66,31.27,2991000.0,,,,,30.379999,30.98,31.43,-0.66,-0.390001,0.269999
16,2014-01-27,SWKS,30.379999,31.16,30.219999,30.98,3014600.0,,,,,30.049999,29.51,30.77,-0.390001,-0.33,0.060001
17,2014-01-28,SWKS,30.049999,30.110001,29.02,29.51,6464100.0,,,,,30.139999,29.950001,30.379999,-0.33,0.09,0.42
18,2014-01-29,SWKS,30.139999,30.280001,29.610001,29.950001,4445500.0,,,,,30.559999,30.639999,30.049999,0.09,0.42,0.33
19,2014-01-30,SWKS,30.559999,30.690001,30.15,30.639999,1864900.0,,,,,30.25,30.209999,30.139999,0.42,-0.309999,-0.729999
20,2014-01-31,SWKS,30.25,30.68,30.200001,30.209999,1936700.0,,,,,29.57,30.15,30.559999,-0.309999,-0.68,-0.370001
21,2014-02-03,SWKS,29.57,30.290001,29.290001,30.15,4866300.0,,,,,29.709999,29.76,30.25,-0.68,0.139999,0.819999
22,2014-02-04,SWKS,29.709999,29.84,29.34,29.76,2782000.0,,,,,29.860001,29.530001,29.57,0.139999,0.150002,0.010003
23,2014-02-05,SWKS,29.860001,30.139999,29.25,29.530001,2347900.0,,,,,30.26,30.110001,29.709999,0.150002,0.399999,0.249997
24,2014-02-06,SWKS,30.26,30.73,30.0,30.110001,2566500.0,,,,,30.469999,30.41,29.860001,0.399999,0.209999,-0.19
25,2014-02-07,SWKS,30.469999,30.690001,30.35,30.41,1615000.0,,,,,30.700001,30.57,30.26,0.209999,0.230002,0.020003
26,2014-02-10,SWKS,30.700001,31.059999,30.5,30.57,2131500.0,,,,,31.09,30.809999,30.469999,0.230002,0.389999,0.159997
27,2014-02-11,SWKS,31.09,31.59,30.66,30.809999,3382000.0,,,,,32.119999,31.309999,30.700001,0.389999,1.029999,0.64
28,2014-02-12,SWKS,32.119999,32.139999,31.299999,31.309999,3845700.0,,,,,32.110001,31.99,31.09,1.029999,-0.009998,-1.039997
29,2014-02-13,SWKS,32.110001,32.189999,31.75,31.99,2927600.0,,,,,32.0,32.099998,32.119999,-0.009998,-0.110001,-0.100003
30,2014-02-14,SWKS,32.0,32.200001,31.83,32.099998,1813300.0,,,,,31.799999,32.139999,32.110001,-0.110001,-0.200001,-0.09
31,2014-02-18,SWKS,31.799999,32.150002,31.57,32.139999,2682300.0,,,,,31.32,31.68,32.0,-0.200001,-0.479999,-0.279998
32,2014-02-19,SWKS,31.32,31.799999,31.27,31.68,2467800.0,,,,,33.32,32.0,31.799999,-0.479999,2.0,2.479999
33,2014-02-20,SWKS,33.32,33.400002,31.9,32.0,8257400.0,,,,,32.720001,33.439999,31.32,2.0,-0.599999,-2.599999
34,2014-02-21,SWKS,32.720001,33.439999,32.689999,33.439999,3552600.0,,,,,34.400002,33.700001,33.32,-0.599999,1.680001,2.28
35,2014-02-24,SWKS,34.400002,34.450001,33.299999,33.700001,7784300.0,,,,,33.759998,34.490002,32.720001,1.680001,-0.640004,-2.320005
36,2014-02-25,SWKS,33.759998,34.599998,33.580002,34.490002,4151100.0,,,,,35.02,33.700001,34.400002,-0.640004,1.260002,1.900006
37,2014-02-26,SWKS,35.02,35.049999,33.700001,33.700001,4803600.0,,,,,34.950001,34.880001,33.759998,1.260002,-0.069999,-1.330001
38,2014-02-27,SWKS,34.950001,35.130001,34.5,34.880001,3526300.0,,,,,35.459999,34.84,35.02,-0.069999,0.509998,0.579997
