,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,TXN,43.099998,43.5,42.880001,43.439999,6959200.0,,,,,43.290001,43.119999,,,0.190003,
1,2014-01-03,TXN,43.290001,43.459999,42.970001,43.119999,4693300.0,,,,,42.93,43.25,43.099998,0.190003,-0.360001,-0.550004
2,2014-01-06,TXN,42.93,43.279999,42.849998,43.25,4446300.0,,,,,42.700001,42.98,43.290001,-0.360001,-0.229999,0.130002
3,2014-01-07,TXN,42.700001,43.110001,42.639999,42.98,5078900.0,,,,,43.290001,42.959999,42.93,-0.229999,0.59,0.819999
4,2014-01-08,TXN,43.290001,43.32,42.619999,42.959999,6353500.0,,,,,43.060001,43.279999,42.700001,0.59,-0.23,-0.82
5,2014-01-09,TXN,43.060001,43.389999,42.900002,43.279999,3383800.0,,,,,43.110001,43.150002,43.290001,-0.23,0.05,0.28
6,2014-01-10,TXN,43.110001,43.25,42.740002,43.150002,5330900.0,,,,,42.240002,42.959999,43.060001,0.05,-0.869999,-0.919999
7,2014-01-13,TXN,42.240002,43.099998,42.119999,42.959999,6759100.0,,,,,43.34,42.5,43.110001,-0.869999,1.099998,1.969997
8,2014-01-14,TXN,43.34,43.400002,42.349998,42.5,6892700.0,,,,,43.540001,43.450001,42.240002,1.099998,0.200001,-0.899997
9,2014-01-15,TXN,43.540001,43.650002,43.099998,43.450001,6605400.0,,,,,43.369999,43.52,43.34,0.200001,-0.170002,-0.370003
10,2014-01-16,TXN,43.369999,43.599998,43.240002,43.52,4086900.0,,,,,43.450001,43.200001,43.540001,-0.170002,0.080002,0.250004
11,2014-01-17,TXN,43.450001,43.849998,43.009998,43.200001,6614200.0,,,,,43.849998,43.75,43.369999,0.080002,0.399997,0.319995
12,2014-01-21,TXN,43.849998,43.93,43.369999,43.75,7413800.0,0.41932,0.0156,0.9342,0.05,44.610001,43.700001,43.450001,0.399997,0.760003,0.360006
13,2014-01-22,TXN,44.610001,44.82,43.549999,43.700001,9822000.0,0.9711,0.023,0.909,0.067,44.09,44.119999,43.849998,0.760003,-0.520001,-1.280004
14,2014-01-23,TXN,44.09,44.549999,43.950001,44.119999,8236400.0,,,,,42.950001,43.790001,44.610001,-0.520001,-1.139999,-0.619998
15,2014-01-24,TXN,42.950001,44.029999,42.880001,43.790001,10676700.0,,,,,42.639999,42.950001,44.09,-1.139999,-0.310002,0.829997
16,2014-01-27,TXN,42.639999,43.27,42.549999,42.950001,7360000.0,,,,,42.900002,42.580002,42.950001,-0.310002,0.260003,0.570005
17,2014-01-28,TXN,42.900002,42.93,42.299999,42.580002,6356100.0,,,,,42.400002,42.32,42.639999,0.260003,-0.5,-0.760003
18,2014-01-29,TXN,42.400002,42.75,42.240002,42.32,8619600.0,,,,,42.689999,42.610001,42.900002,-0.5,0.289997,0.789997
19,2014-01-30,TXN,42.689999,42.93,42.43,42.610001,6703000.0,,,,,42.400002,41.349998,42.400002,0.289997,-0.289997,-0.579994
20,2014-01-31,TXN,42.400002,42.650002,41.259998,41.349998,12821700.0,,,,,41.5,42.419998,42.689999,-0.289997,-0.900002,-0.610005
21,2014-02-03,TXN,41.5,42.5,41.380001,42.419998,12669400.0,,,,,40.889999,41.599998,42.400002,-0.900002,-0.610001,0.290001
22,2014-02-04,TXN,40.889999,41.700001,40.849998,41.599998,10529900.0,,,,,40.970001,40.630001,41.5,-0.610001,0.080002,0.690003
23,2014-02-05,TXN,40.970001,41.130001,40.330002,40.630001,9254300.0,,,,,41.23,41.189999,40.889999,0.080002,0.259999,0.179997
24,2014-02-06,TXN,41.23,41.439999,41.0,41.189999,4734500.0,,,,,41.950001,41.560001,40.970001,0.259999,0.720001,0.460002
25,2014-02-07,TXN,41.950001,42.0,41.290001,41.560001,6005000.0,,,,,42.360001,41.970001,41.23,0.720001,0.41,-0.310001
26,2014-02-10,TXN,42.360001,42.369999,41.889999,41.970001,4666000.0,,,,,43.130001,42.759998,41.950001,0.41,0.77,0.36
27,2014-02-11,TXN,43.130001,43.290001,42.310001,42.759998,7149900.0,,,,,43.299999,43.240002,42.360001,0.77,0.169998,-0.600002
28,2014-02-12,TXN,43.299999,43.439999,43.009998,43.240002,5041200.0,,,,,43.740002,43.049999,43.130001,0.169998,0.440003,0.270005
29,2014-02-13,TXN,43.740002,43.75,43.049999,43.049999,5029100.0,,,,,43.860001,43.52,43.299999,0.440003,0.119999,-0.320004
30,2014-02-14,TXN,43.860001,43.939999,43.400002,43.52,4907400.0,,,,,44.009998,43.75,43.740002,0.119999,0.149997,0.029998
31,2014-02-18,TXN,44.009998,44.07,43.240002,43.75,5826100.0,,,,,43.93,43.830002,43.860001,0.149997,-0.079998,-0.229995
32,2014-02-19,TXN,43.93,44.150002,43.669998,43.830002,5346600.0,,,,,44.200001,43.849998,44.009998,-0.079998,0.270001,0.349999
33,2014-02-20,TXN,44.200001,44.259998,43.799999,43.849998,5371100.0,,,,,44.150002,44.400002,43.93,0.270001,-0.049999,-0.32
34,2014-02-21,TXN,44.150002,44.43,44.02,44.400002,5669500.0,,,,,44.450001,44.220001,44.200001,-0.049999,0.299999,0.349998
35,2014-02-24,TXN,44.450001,44.830002,44.200001,44.220001,5311800.0,,,,,44.470001,44.490002,44.150002,0.299999,0.02,-0.279999
36,2014-02-25,TXN,44.470001,44.709999,44.07,44.490002,5303900.0,,,,,44.630001,44.5,44.450001,0.02,0.16,0.14
37,2014-02-26,TXN,44.630001,44.939999,44.490002,44.5,4532100.0,,,,,44.779999,44.529999,44.470001,0.16,0.149998,-0.010002
38,2014-02-27,TXN,44.779999,44.82,44.48,44.529999,4343500.0,,,,,44.959999,44.880001,44.630001,0.149998,0.18,0.030002
39,2014-02-28,TXN,44.959999,45.189999,44.580002,44.880001,5772900.0,,,,,44.580002,44.68,44.779999,0.18,-0.379997,-0.559997
40,2014-03-03,TXN,44.580002,44.939999,44.349998,44.68,4679400.0,,,,,45.259998,44.830002,44.959999,-0.379997,0.679996,1.059993
41,2014-03-04,TXN,45.259998,45.41,44.82,44.830002,5112200.0,,,,,45.18,44.150002,44.580002,0.679996,-0.079998,-0.759994
42,2014-03-05,TXN,45.18,45.599998,44.150002,44.150002,5094800.0,,,,,45.68,45.310001,45.259998,-0.079998,0.5,0.579998
43,2014-03-06,TXN,45.68,45.75,45.209999,45.310001,4803100.0,,,,,45.849998,45.880001,45.18,0.5,0.169998,-0.330002
44,2014-03-07,TXN,45.849998,46.040001,45.619999,45.880001,3872400.0,,,,,45.869999,45.91,45.68,0.169998,0.020001,-0.149997
45,2014-03-10,TXN,45.869999,46.0,45.529999,45.91,3370300.0,,,,,45.669998,45.990002,45.849998,0.020001,-0.200001,-0.220002
46,2014-03-11,TXN,45.669998,46.240002,45.299999,45.990002,4978200.0,,,,,46.43,45.52,45.869999,-0.200001,0.760002,0.960003
47,2014-03-12,TXN,46.43,46.599998,45.52,45.52,9523400.0,,,,,44.990002,46.5,45.669998,0.760002,-1.439998,-2.2
48,2014-03-13,TXN,44.990002,46.779999,44.919998,46.5,9890400.0,0.993066666667,0.009,0.862666666667,0.128666666667,44.310001,44.950001,46.43,-1.439998,-0.680001,0.759997
49,2014-03-14,TXN,44.310001,45.290001,44.290001,44.950001,10047300.0,,,,,45.27,44.540001,44.990002,-0.680001,0.959999,1.64
50,2014-03-17,TXN,45.27,45.52,44.41,44.540001,5894500.0,,,,,45.400002,45.209999,44.310001,0.959999,0.130002,-0.829997
51,2014-03-18,TXN,45.400002,45.650002,45.07,45.209999,4093400.0,,,,,45.52,45.509998,45.27,0.130002,0.119998,-0.010004
52,2014-03-19,TXN,45.52,46.009998,45.27,45.509998,5830900.0,,,,,46.950001,45.549999,45.400002,0.119998,1.430001,1.310003
53,2014-03-20,TXN,46.950001,46.970001,45.41,45.549999,7694600.0,,,,,47.150002,47.43,45.52,1.430001,0.200001,-1.23
54,2014-03-21,TXN,47.150002,47.650002,46.490002,47.43,21693300.0,,,,,46.57,46.799999,46.950001,0.200001,-0.580002,-0.780003
55,2014-03-24,TXN,46.57,47.0,46.200001,46.799999,6884000.0,,,,,46.689999,46.84,47.150002,-0.580002,0.119999,0.700001
56,2014-03-25,TXN,46.689999,46.900002,46.099998,46.84,6606500.0,,,,,46.389999,46.98,46.57,0.119999,-0.3,-0.419999
57,2014-03-26,TXN,46.389999,47.25,46.23,46.98,6824900.0,,,,,46.080002,46.450001,46.689999,-0.3,-0.309997,-0.00999699999999
58,2014-03-27,TXN,46.080002,46.619999,46.0,46.450001,4935700.0,,,,,46.639999,46.23,46.389999,-0.309997,0.559997,0.869994
59,2014-03-28,TXN,46.639999,47.060001,46.119999,46.23,4329500.0,,,,,47.16,47.060001,46.080002,0.559997,0.520001,-0.039996
60,2014-03-31,TXN,47.16,47.439999,46.860001,47.060001,4650500.0,,,,,47.529999,47.32,46.639999,0.520001,0.369999,-0.150002
61,2014-04-01,TXN,47.529999,49.77,47.119999,47.32,6467800.0,,,,,47.619999,47.580002,47.16,0.369999,0.09,-0.279999
62,2014-04-02,TXN,47.619999,47.970001,47.470001,47.580002,5153900.0,,,,,47.689999,47.73,47.529999,0.09,0.07,-0.02
63,2014-04-03,TXN,47.689999,47.889999,47.5,47.73,2626800.0,,,,,46.34,47.889999,47.619999,0.07,-1.349999,-1.419999
64,2014-04-04,TXN,46.34,48.0,46.23,47.889999,7418800.0,,,,,46.25,46.290001,47.689999,-1.349999,-0.09,1.259999
65,2014-04-07,TXN,46.25,46.900002,46.02,46.290001,7278000.0,,,,,46.77,46.360001,46.34,-0.09,0.52,0.61
66,2014-04-08,TXN,46.77,46.900002,46.279999,46.360001,6590100.0,,,,,47.240002,46.950001,46.25,0.52,0.470002,-0.049998
67,2014-04-09,TXN,47.240002,47.360001,46.560001,46.950001,4638900.0,,,,,45.529999,47.119999,46.77,0.470002,-1.710003,-2.180005
68,2014-04-10,TXN,45.529999,47.290001,45.52,47.119999,8497300.0,,,,,44.98,44.77,47.240002,-1.710003,-0.549999,1.160004
69,2014-04-11,TXN,44.98,45.740002,44.73,44.77,8361500.0,,,,,45.32,45.759998,45.529999,-0.549999,0.34,0.889999
70,2014-04-14,TXN,45.32,45.759998,44.919998,45.759998,5175100.0,,,,,45.810001,45.380001,44.98,0.34,0.490001,0.150001
71,2014-04-15,TXN,45.810001,45.990002,45.040001,45.380001,6506100.0,,,,,45.209999,45.700001,45.32,0.490001,-0.600002,-1.090003
72,2014-04-16,TXN,45.209999,45.73,44.540001,45.700001,8908100.0,,,,,45.830002,45.349998,45.810001,-0.600002,0.620003,1.220005
73,2014-04-17,TXN,45.830002,46.060001,45.080002,45.349998,6542500.0,,,,,46.110001,46.18,45.209999,0.620003,0.279999,-0.340004
74,2014-04-21,TXN,46.110001,46.240002,45.68,46.18,3000900.0,,,,,46.59,45.880001,45.830002,0.279999,0.479999,0.2
75,2014-04-22,TXN,46.59,46.709999,45.540001,45.880001,4981400.0,,,,,46.459999,46.549999,46.110001,0.479999,-0.130001,-0.61
