,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,UNP,167.110001,169.820007,166.639999,168.399994,4692200.0,,,,,166.850006,167.419998,,,-0.259995,
1,2014-01-03,UNP,166.850006,168.759995,166.25,167.419998,2411600.0,,,,,165.160004,167.169998,167.110001,-0.259995,-1.690002,-1.430007
2,2014-01-06,UNP,165.160004,167.610001,164.970001,167.169998,3741200.0,,,,,166.619995,165.380005,166.850006,-1.690002,1.459991,3.149993
3,2014-01-07,UNP,166.619995,166.889999,165.220001,165.380005,3135200.0,,,,,166.929993,167.860001,165.160004,1.459991,0.309998,-1.149993
4,2014-01-08,UNP,166.929993,169.0,166.5,167.860001,4462600.0,,,,,169.270004,167.190002,166.619995,0.309998,2.340011,2.030013
5,2014-01-09,UNP,169.270004,169.330002,166.919998,167.190002,4533800.0,,,,,170.380005,168.839996,166.929993,2.340011,1.110001,-1.23001
6,2014-01-10,UNP,170.380005,170.880005,168.570007,168.839996,5088000.0,,,,,168.050003,170.339996,169.270004,1.110001,-2.330002,-3.440003
7,2014-01-13,UNP,168.050003,170.690002,167.550003,170.339996,4530200.0,,,,,168.820007,168.220001,170.380005,-2.330002,0.770004,3.100006
8,2014-01-14,UNP,168.820007,169.470001,167.539993,168.220001,3145200.0,,,,,170.149994,168.889999,168.050003,0.770004,1.329987,0.559983
9,2014-01-15,UNP,170.149994,171.380005,168.830002,168.889999,4351800.0,,,,,167.960007,167.570007,168.820007,1.329987,-2.189987,-3.519974
10,2014-01-16,UNP,167.960007,168.429993,166.559998,167.570007,4837200.0,,,,,167.839996,167.929993,170.149994,-2.189987,-0.120011,2.069976
11,2014-01-17,UNP,167.839996,168.809998,167.119995,167.929993,4756400.0,,,,,168.119995,169.580002,167.960007,-0.120011,0.279999,0.40001
12,2014-01-21,UNP,168.119995,169.580002,167.179993,169.580002,3098600.0,,,,,168.5,169.080002,167.839996,0.279999,0.380005,0.100006
