,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,URBN,37.779999,38.689999,37.759998,38.400002,2502900.0,0.740266666667,0.038,0.855666666667,0.106333333333,37.990002,37.75,,,0.210003,
1,2014-01-03,URBN,37.990002,38.169998,37.709999,37.75,1692300.0,,,,,37.959999,38.75,37.779999,0.210003,-0.030003,-0.240006
2,2014-01-06,URBN,37.959999,38.75,37.950001,38.75,2120000.0,,,,,37.98,38.09,37.990002,-0.030003,0.020001,0.050004
3,2014-01-07,URBN,37.98,38.23,37.880001,38.09,2563600.0,,,,,37.869999,37.98,37.959999,0.020001,-0.110001,-0.130002
4,2014-01-08,URBN,37.869999,38.130001,37.689999,37.98,3184200.0,,,,,38.009998,38.41,37.98,-0.110001,0.139999,0.25
5,2014-01-09,URBN,38.009998,38.52,37.599998,38.41,3281700.0,,,,,37.57,37.990002,37.869999,0.139999,-0.439998,-0.579997
6,2014-01-10,URBN,37.57,38.080002,37.099998,37.990002,2103400.0,,,,,36.889999,37.380001,38.009998,-0.439998,-0.680001,-0.240003
7,2014-01-13,URBN,36.889999,37.549999,36.82,37.380001,2575200.0,,,,,37.130001,36.950001,37.57,-0.680001,0.240002,0.920003
8,2014-01-14,URBN,37.130001,37.66,36.91,36.950001,1782900.0,,,,,37.130001,36.290001,36.889999,0.240002,0.0,-0.240002
9,2014-01-15,URBN,37.130001,37.560001,36.290001,36.290001,1454800.0,,,,,36.779999,37.009998,37.130001,0.0,-0.350002,-0.350002
10,2014-01-16,URBN,36.779999,37.07,36.400002,37.009998,1864700.0,,,,,37.02,36.869999,37.130001,-0.350002,0.240001,0.590003
11,2014-01-17,URBN,37.02,37.59,36.669998,36.869999,1809100.0,,,,,36.889999,37.27,36.779999,0.240001,-0.130001,-0.370002
12,2014-01-21,URBN,36.889999,37.299999,36.73,37.27,1453400.0,,,,,36.880001,36.82,37.02,-0.130001,-0.009998,0.120003
13,2014-01-22,URBN,36.880001,36.950001,36.669998,36.82,999100.0,,,,,36.52,36.740002,36.889999,-0.009998,-0.360001,-0.350003
14,2014-01-23,URBN,36.52,36.91,36.419998,36.740002,1598400.0,,,,,36.0,36.32,36.880001,-0.360001,-0.52,-0.159999
15,2014-01-24,URBN,36.0,36.400002,35.900002,36.32,1285300.0,,,,,36.279999,36.52,36.52,-0.52,0.279999,0.799999
