,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,VFC,62.380001,63.450001,62.0,63.02,1769600.0,,,,,62.110001,62.139999,,,-0.27,
1,2014-01-03,VFC,62.110001,62.490002,61.740002,62.139999,1771500.0,,,,,61.709999,62.220001,62.380001,-0.27,-0.400002,-0.130002
2,2014-01-06,VFC,61.709999,62.419998,61.41,62.220001,2184600.0,,,,,61.84,62.0,62.110001,-0.400002,0.130001,0.530003
3,2014-01-07,VFC,61.84,62.290001,61.610001,62.0,1806100.0,,,,,61.669998,61.75,61.709999,0.130001,-0.170002,-0.300003
4,2014-01-08,VFC,61.669998,61.799999,61.080002,61.75,2122600.0,,,,,62.290001,61.93,61.84,-0.170002,0.620003,0.790005
5,2014-01-09,VFC,62.290001,62.369999,61.459999,61.93,1610100.0,,,,,62.470001,62.299999,61.669998,0.620003,0.18,-0.440003
6,2014-01-10,VFC,62.470001,62.48,61.799999,62.299999,1175400.0,,,,,60.23,62.049999,62.290001,0.18,-2.240001,-2.420001
7,2014-01-13,VFC,60.23,62.200001,59.970001,62.049999,2917200.0,,,,,60.439999,60.419998,62.470001,-2.240001,0.209999,2.45
8,2014-01-14,VFC,60.439999,61.049999,60.029999,60.419998,2052200.0,,,,,60.220001,60.5,60.23,0.209999,-0.219998,-0.429997
9,2014-01-15,VFC,60.220001,60.880001,60.16,60.5,1824800.0,,,,,59.209999,59.970001,60.439999,-0.219998,-1.010002,-0.790004
10,2014-01-16,VFC,59.209999,60.200001,58.799999,59.970001,3274800.0,,,,,58.790001,61.380001,60.220001,-1.010002,-0.419998,0.590004
11,2014-01-17,VFC,58.790001,61.380001,58.790001,61.380001,3762600.0,,,,,58.779999,59.369999,59.209999,-0.419998,-0.010002,0.409996
12,2014-01-21,VFC,58.779999,59.369999,58.02,59.369999,2831700.0,,,,,59.0,59.040001,58.790001,-0.010002,0.220001,0.230003
13,2014-01-22,VFC,59.0,59.169998,58.810001,59.040001,1921800.0,,,,,58.150002,58.540001,58.779999,0.220001,-0.849998,-1.069999
14,2014-01-23,VFC,58.150002,58.77,57.91,58.540001,2232400.0,,,,,57.77,57.759998,59.0,-0.849998,-0.380002,0.469996
15,2014-01-24,VFC,57.77,58.439999,57.709999,57.759998,2136000.0,,,,,57.91,57.73,58.150002,-0.380002,0.14,0.520002
16,2014-01-27,VFC,57.91,58.290001,57.599998,57.73,2322900.0,,,,,58.68,58.0,57.77,0.14,0.77,0.63
17,2014-01-28,VFC,58.68,58.959999,57.860001,58.0,1840700.0,,,,,57.580002,58.380001,57.91,0.77,-1.099998,-1.869998
18,2014-01-29,VFC,57.580002,58.799999,57.48,58.380001,2297200.0,,,,,59.41,58.689999,58.68,-1.099998,1.829998,2.929996
19,2014-01-30,VFC,59.41,59.959999,58.689999,58.689999,2294000.0,,,,,58.450001,58.66,57.580002,1.829998,-0.959999,-2.789997
20,2014-01-31,VFC,58.450001,58.799999,58.290001,58.66,2619200.0,,,,,56.490002,58.439999,59.41,-0.959999,-1.959999,-1.0
21,2014-02-03,VFC,56.490002,58.450001,56.360001,58.439999,2373100.0,,,,,56.369999,56.91,58.450001,-1.959999,-0.120003,1.839996
22,2014-02-04,VFC,56.369999,57.049999,56.18,56.91,2317000.0,,,,,55.990002,56.349998,56.490002,-0.120003,-0.379997,-0.259994
23,2014-02-05,VFC,55.990002,56.540001,55.32,56.349998,3550100.0,,,,,57.43,56.23,56.369999,-0.379997,1.439998,1.819995
24,2014-02-06,VFC,57.43,57.610001,55.43,56.23,2160600.0,,,,,58.75,57.77,55.990002,1.439998,1.32,-0.119998
25,2014-02-07,VFC,58.75,58.830002,57.77,57.77,1782500.0,,,,,59.099998,58.580002,57.43,1.32,0.349998,-0.970002
26,2014-02-10,VFC,59.099998,59.27,58.509998,58.580002,1819200.0,,,,,60.41,59.040001,58.75,0.349998,1.310002,0.960004
27,2014-02-11,VFC,60.41,60.439999,58.91,59.040001,2603000.0,,,,,59.330002,60.619999,59.099998,1.310002,-1.079998,-2.39
28,2014-02-12,VFC,59.330002,60.82,59.189999,60.619999,3174800.0,,,,,59.889999,59.060001,60.41,-1.079998,0.559997,1.639995
29,2014-02-13,VFC,59.889999,60.0,58.950001,59.060001,3297300.0,,,,,56.849998,56.220001,59.330002,0.559997,-3.040001,-3.599998
