,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2016-01-05,WLTW,125.839996,126.25,122.309998,123.43,2163600.0,,,,,119.980003,125.239998,,,-5.859993,
1,2016-01-06,WLTW,119.980003,125.540001,119.940002,125.239998,2386400.0,,,,,114.949997,116.379997,125.839996,-5.859993,-5.030006,0.829987
2,2016-01-07,WLTW,114.949997,119.739998,114.93,116.379997,2489500.0,,,,,116.620003,115.480003,119.980003,-5.030006,1.670006,6.700012
3,2016-01-08,WLTW,116.620003,117.440002,113.5,115.480003,2006300.0,,,,,114.970001,117.010002,114.949997,1.670006,-1.650002,-3.320008
4,2016-01-11,WLTW,114.970001,117.330002,114.089996,117.010002,1408600.0,,,,,115.550003,115.510002,116.620003,-1.650002,0.580002,2.230004
5,2016-01-12,WLTW,115.550003,116.059998,114.5,115.510002,1098000.0,,,,,112.849998,116.459999,114.970001,0.580002,-2.700005,-3.280007
6,2016-01-13,WLTW,112.849998,117.07,112.589996,116.459999,949600.0,,,,,114.379997,113.510002,115.550003,-2.700005,1.529999,4.230004
7,2016-01-14,WLTW,114.379997,115.029999,110.050003,113.510002,785300.0,,,,,112.529999,113.330002,112.849998,1.529999,-1.849998,-3.379997
8,2016-01-15,WLTW,112.529999,114.879997,111.919998,113.330002,1093700.0,,,,,110.379997,113.660004,114.379997,-1.849998,-2.150002,-0.300004
9,2016-01-19,WLTW,110.379997,115.870003,109.870003,113.660004,1523500.0,-0.0516,0.043,0.917,0.04,109.300003,109.059998,112.529999,-2.150002,-1.079994,1.070008
10,2016-01-20,WLTW,109.300003,111.599998,108.32,109.059998,1653900.0,,,,,110.0,109.730003,110.379997,-1.079994,0.699997,1.779991
11,2016-01-21,WLTW,110.0,110.580002,108.32,109.730003,944300.0,,,,,111.949997,111.879997,109.300003,0.699997,1.949997,1.25
12,2016-01-22,WLTW,111.949997,112.949997,110.190002,111.879997,744900.0,,,,,110.120003,111.32,110.0,1.949997,-1.829994,-3.779991
13,2016-01-25,WLTW,110.120003,114.629997,110.0,111.32,703800.0,,,,,111.0,110.419998,111.949997,-1.829994,0.879997,2.709991
14,2016-01-26,WLTW,111.0,111.400002,107.300003,110.419998,563100.0,,,,,110.709999,110.769997,110.120003,0.879997,-0.290001,-1.169998
15,2016-01-27,WLTW,110.709999,112.57,109.019997,110.769997,896100.0,,,,,112.580002,110.900002,111.0,-0.290001,1.870003,2.160004
16,2016-01-28,WLTW,112.580002,112.970001,109.900002,110.900002,680400.0,,,,,114.470001,113.349998,110.709999,1.870003,1.889999,0.019996
17,2016-01-29,WLTW,114.470001,114.589996,111.669998,113.349998,749900.0,,,,,114.5,114.0,112.580002,1.889999,0.029999,-1.86
18,2016-02-01,WLTW,114.5,114.849998,112.900002,114.0,574200.0,,,,,110.559998,113.25,114.470001,0.029999,-3.940002,-3.970001
