,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,WU,17.030001,17.25,16.959999,17.219999,5538000.0,,,,,16.92,17.07,,,-0.110001,
1,2014-01-03,WU,16.92,17.15,16.85,17.07,4222500.0,,,,,17.059999,16.99,17.030001,-0.110001,0.139999,0.25
2,2014-01-06,WU,17.059999,17.139999,16.92,16.99,5361600.0,,,,,17.440001,17.07,16.92,0.139999,0.380002,0.240003
3,2014-01-07,WU,17.440001,17.549999,17.040001,17.07,9793800.0,,,,,17.42,17.57,17.059999,0.380002,-0.020001,-0.400003
4,2014-01-08,WU,17.42,17.83,17.35,17.57,10439000.0,,,,,17.059999,17.51,17.440001,-0.020001,-0.360001,-0.34
5,2014-01-09,WU,17.059999,17.549999,17.040001,17.51,7009200.0,,,,,16.77,17.120001,17.42,-0.360001,-0.289999,0.070002
6,2014-01-10,WU,16.77,17.139999,16.700001,17.120001,7206500.0,,,,,16.379999,16.780001,17.059999,-0.289999,-0.390001,-0.100002
7,2014-01-13,WU,16.379999,16.83,16.379999,16.780001,6356500.0,,,,,16.52,16.24,16.77,-0.390001,0.140001,0.530002
8,2014-01-14,WU,16.52,16.549999,16.190001,16.24,11767300.0,,,,,16.690001,16.469999,16.379999,0.140001,0.170001,0.03
9,2014-01-15,WU,16.690001,16.77,16.33,16.469999,8023300.0,,,,,16.719999,16.719999,16.52,0.170001,0.029998,-0.140003
10,2014-01-16,WU,16.719999,16.77,16.610001,16.719999,4738800.0,,,,,16.450001,16.709999,16.690001,0.029998,-0.269998,-0.299996
11,2014-01-17,WU,16.450001,16.98,16.41,16.709999,5789100.0,,,,,16.17,16.51,16.719999,-0.269998,-0.280001,-0.010003
12,2014-01-21,WU,16.17,16.51,16.129999,16.51,6705800.0,,,,,16.309999,16.190001,16.450001,-0.280001,0.139999,0.42
13,2014-01-22,WU,16.309999,16.35,16.08,16.190001,5435400.0,,,,,16.120001,16.209999,16.17,0.139999,-0.189998,-0.329997
14,2014-01-23,WU,16.120001,16.209999,16.040001,16.209999,5925300.0,,,,,15.74,16.059999,16.309999,-0.189998,-0.380001,-0.190003
15,2014-01-24,WU,15.74,16.09,15.74,16.059999,7743100.0,,,,,15.5,15.78,16.120001,-0.380001,-0.24,0.140001
16,2014-01-27,WU,15.5,15.83,15.29,15.78,7142200.0,,,,,15.9,15.59,15.74,-0.24,0.4,0.64
17,2014-01-28,WU,15.9,15.99,15.55,15.59,7741200.0,,,,,15.53,15.71,15.5,0.4,-0.37,-0.77
18,2014-01-29,WU,15.53,15.83,15.49,15.71,7500800.0,,,,,15.67,15.71,15.9,-0.37,0.14,0.51
19,2014-01-30,WU,15.67,15.77,15.58,15.71,5196900.0,,,,,15.4,15.47,15.53,0.14,-0.27,-0.41
20,2014-01-31,WU,15.4,15.62,15.38,15.47,6108500.0,,,,,15.15,15.43,15.67,-0.27,-0.25,0.02
21,2014-02-03,WU,15.15,15.51,15.14,15.43,9357700.0,,,,,15.23,15.18,15.4,-0.25,0.08,0.33
22,2014-02-04,WU,15.23,15.29,15.09,15.18,14640500.0,,,,,15.21,15.17,15.15,0.08,-0.02,-0.1
23,2014-02-05,WU,15.21,15.28,15.0,15.17,10332500.0,,,,,15.31,15.25,15.23,-0.02,0.1,0.12
24,2014-02-06,WU,15.31,15.43,15.2,15.25,6574800.0,,,,,15.63,15.37,15.21,0.1,0.32,0.22
25,2014-02-07,WU,15.63,15.66,15.34,15.37,5123300.0,,,,,15.64,15.61,15.31,0.32,0.01,-0.31
26,2014-02-10,WU,15.64,15.74,15.5,15.61,4808100.0,,,,,15.88,15.61,15.63,0.01,0.24,0.23
27,2014-02-11,WU,15.88,16.02,15.6,15.61,10349100.0,0.833666666667,0.046,0.855,0.0986666666667,16.34,16.5,15.64,0.24,0.46,0.22
28,2014-02-12,WU,16.34,16.99,16.15,16.5,17928000.0,,,,,16.120001,16.17,15.88,0.46,-0.219999,-0.679999
29,2014-02-13,WU,16.120001,16.27,16.09,16.17,7859100.0,,,,,16.26,16.139999,16.34,-0.219999,0.139999,0.359998
30,2014-02-14,WU,16.26,16.32,16.07,16.139999,4779100.0,,,,,16.219999,16.290001,16.120001,0.139999,-0.040001,-0.18
31,2014-02-18,WU,16.219999,16.41,16.18,16.290001,5930700.0,,,,,16.049999,16.18,16.26,-0.040001,-0.17,-0.129999
32,2014-02-19,WU,16.049999,16.309999,16.02,16.18,7829200.0,,,,,15.99,16.110001,16.219999,-0.17,-0.059999,0.110001
33,2014-02-20,WU,15.99,16.139999,15.86,16.110001,5271700.0,,,,,16.040001,16.030001,16.049999,-0.059999,0.050001,0.11
34,2014-02-21,WU,16.040001,16.18,15.95,16.030001,4932400.0,,,,,16.35,16.049999,15.99,0.050001,0.309999,0.259998
35,2014-02-24,WU,16.35,16.52,16.049999,16.049999,6337900.0,,,,,16.120001,16.27,16.040001,0.309999,-0.229999,-0.539998
36,2014-02-25,WU,16.120001,16.290001,15.88,16.27,8998300.0,-0.6597,0.07,0.89,0.0405,16.389999,16.18,16.35,-0.229999,0.269998,0.499997
37,2014-02-26,WU,16.389999,16.530001,16.18,16.18,7910500.0,,,,,16.610001,16.209999,16.120001,0.269998,0.220002,-0.049996
38,2014-02-27,WU,16.610001,16.639999,16.1,16.209999,7703300.0,,,,,16.73,16.75,16.389999,0.220002,0.119999,-0.100003
39,2014-02-28,WU,16.73,16.83,16.59,16.75,9019600.0,,,,,16.59,16.540001,16.610001,0.119999,-0.14,-0.259999
40,2014-03-03,WU,16.59,16.700001,16.42,16.540001,11050700.0,,,,,16.76,16.77,16.73,-0.14,0.17,0.31
41,2014-03-04,WU,16.76,16.83,16.66,16.77,5272400.0,,,,,16.860001,16.75,16.59,0.17,0.100001,-0.069999
42,2014-03-05,WU,16.860001,16.940001,16.73,16.75,5407700.0,,,,,16.790001,16.91,16.76,0.100001,-0.07,-0.170001
43,2014-03-06,WU,16.790001,16.98,16.780001,16.91,4708100.0,,,,,16.719999,16.9,16.860001,-0.07,-0.070002,-2.00000000206e-06
44,2014-03-07,WU,16.719999,17.08,16.700001,16.9,8947500.0,,,,,16.74,16.709999,16.790001,-0.070002,0.020001,0.090003
45,2014-03-10,WU,16.74,16.879999,16.68,16.709999,4980400.0,,,,,16.84,16.76,16.719999,0.020001,0.1,0.079999
46,2014-03-11,WU,16.84,17.07,16.75,16.76,8210200.0,,,,,16.65,16.75,16.74,0.1,-0.19,-0.29
47,2014-03-12,WU,16.65,16.809999,16.58,16.75,4503100.0,,,,,16.07,16.540001,16.84,-0.19,-0.58,-0.39
48,2014-03-13,WU,16.07,16.540001,16.030001,16.540001,8101600.0,,,,,15.93,16.1,16.65,-0.58,-0.14,0.44
49,2014-03-14,WU,15.93,16.25,15.81,16.1,9035000.0,,,,,16.23,16.110001,16.07,-0.14,0.3,0.44
50,2014-03-17,WU,16.23,16.280001,15.97,16.110001,4207900.0,,,,,16.440001,16.209999,15.93,0.3,0.210001,-0.089999
51,2014-03-18,WU,16.440001,16.440001,16.16,16.209999,3456800.0,,,,,16.32,16.48,16.23,0.210001,-0.120001,-0.330002
52,2014-03-19,WU,16.32,16.549999,16.209999,16.48,4106000.0,,,,,16.5,16.24,16.440001,-0.120001,0.18,0.300001
53,2014-03-20,WU,16.5,16.5,16.200001,16.24,3193300.0,,,,,16.200001,16.52,16.32,0.18,-0.299999,-0.479999
54,2014-03-21,WU,16.200001,16.530001,16.15,16.52,7002100.0,0.22085,0.0305,0.9055,0.064,16.450001,16.299999,16.5,-0.299999,0.25,0.549999
55,2014-03-24,WU,16.450001,16.52,16.18,16.299999,6130900.0,,,,,16.35,16.57,16.200001,0.25,-0.100001,-0.350001
56,2014-03-25,WU,16.35,16.6,16.280001,16.57,4927500.0,,,,,16.0,16.43,16.450001,-0.100001,-0.35,-0.249999
57,2014-03-26,WU,16.0,16.540001,15.98,16.43,4770400.0,,,,,16.33,15.88,16.35,-0.35,0.33,0.68
58,2014-03-27,WU,16.33,16.379999,15.86,15.88,5305000.0,,,,,16.209999,16.379999,16.0,0.33,-0.120001,-0.450001
59,2014-03-28,WU,16.209999,16.450001,16.17,16.379999,3707300.0,,,,,16.360001,16.27,16.33,-0.120001,0.150002,0.270003
