,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,XEL,27.51,27.940001,27.5,27.91,3192300.0,,,,,27.5,27.48,,,-0.01,
1,2014-01-03,XEL,27.5,27.639999,27.379999,27.48,2939400.0,,,,,27.35,27.559999,27.51,-0.01,-0.15,-0.14
2,2014-01-06,XEL,27.35,27.620001,27.27,27.559999,3382300.0,,,,,27.82,27.450001,27.5,-0.15,0.47,0.62
3,2014-01-07,XEL,27.82,27.85,27.4,27.450001,3481500.0,,,,,27.709999,27.76,27.35,0.47,-0.110001,-0.580001
4,2014-01-08,XEL,27.709999,27.84,27.66,27.76,3563700.0,,,,,27.82,27.76,27.82,-0.110001,0.110001,0.220002
5,2014-01-09,XEL,27.82,27.9,27.639999,27.76,2647400.0,,,,,28.25,27.879999,27.709999,0.110001,0.43,0.319999
6,2014-01-10,XEL,28.25,28.379999,27.879999,27.879999,3203800.0,,,,,28.040001,28.23,27.82,0.43,-0.209999,-0.639999
7,2014-01-13,XEL,28.040001,28.309999,27.969999,28.23,2738800.0,,,,,28.120001,28.290001,28.25,-0.209999,0.08,0.289999
8,2014-01-14,XEL,28.120001,28.299999,28.02,28.290001,3436500.0,,,,,28.02,28.139999,28.040001,0.08,-0.100001,-0.180001
9,2014-01-15,XEL,28.02,28.200001,27.98,28.139999,2104200.0,,,,,28.200001,28.0,28.120001,-0.100001,0.180001,0.280002
10,2014-01-16,XEL,28.200001,28.24,27.91,28.0,2887800.0,,,,,28.200001,28.209999,28.02,0.180001,0.0,-0.180001
11,2014-01-17,XEL,28.200001,28.34,28.129999,28.209999,2902100.0,,,,,28.450001,28.309999,28.200001,0.0,0.25,0.25
12,2014-01-21,XEL,28.450001,28.49,28.18,28.309999,2437600.0,,,,,28.549999,28.440001,28.200001,0.25,0.099998,-0.150002
13,2014-01-22,XEL,28.549999,28.58,28.42,28.440001,1518400.0,,,,,28.48,28.43,28.450001,0.099998,-0.069999,-0.169997
14,2014-01-23,XEL,28.48,28.540001,28.299999,28.43,2175400.0,,,,,28.059999,28.4,28.549999,-0.069999,-0.420001,-0.350002
15,2014-01-24,XEL,28.059999,28.620001,28.059999,28.4,3666800.0,,,,,28.18,28.1,28.48,-0.420001,0.120001,0.540002
16,2014-01-27,XEL,28.18,28.32,28.030001,28.1,2905000.0,,,,,28.200001,28.200001,28.059999,0.120001,0.020001,-0.1
17,2014-01-28,XEL,28.200001,28.23,28.02,28.200001,2763900.0,,,,,28.16,28.09,28.18,0.020001,-0.040001,-0.060002
18,2014-01-29,XEL,28.16,28.32,28.049999,28.09,3524800.0,,,,,28.73,28.34,28.200001,-0.040001,0.57,0.610001
19,2014-01-30,XEL,28.73,28.73,28.190001,28.34,2803700.0,,,,,28.91,28.51,28.16,0.57,0.18,-0.39
20,2014-01-31,XEL,28.91,29.02,28.43,28.51,3546400.0,,,,,28.610001,28.940001,28.73,0.18,-0.299999,-0.479999
21,2014-02-03,XEL,28.610001,29.33,28.58,28.940001,3712100.0,,,,,28.42,28.700001,28.91,-0.299999,-0.190001,0.109998
22,2014-02-04,XEL,28.42,28.76,28.34,28.700001,3340100.0,,,,,28.27,28.35,28.610001,-0.190001,-0.15,0.040001
23,2014-02-05,XEL,28.27,28.440001,28.209999,28.35,2351500.0,,,,,28.459999,28.26,28.42,-0.15,0.189999,0.339999
24,2014-02-06,XEL,28.459999,28.52,28.209999,28.26,1773100.0,,,,,28.629999,28.530001,28.27,0.189999,0.17,-0.019999
25,2014-02-07,XEL,28.629999,28.639999,28.379999,28.530001,1643300.0,,,,,28.75,28.540001,28.459999,0.17,0.120001,-0.049999
26,2014-02-10,XEL,28.75,28.77,28.33,28.540001,1348400.0,,,,,29.01,28.719999,28.629999,0.120001,0.26,0.139999
27,2014-02-11,XEL,29.01,29.07,28.68,28.719999,1784400.0,,,,,29.120001,29.02,28.75,0.26,0.110001,-0.149999
28,2014-02-12,XEL,29.120001,29.209999,28.92,29.02,2259300.0,,,,,29.43,28.99,29.01,0.110001,0.309999,0.199998
29,2014-02-13,XEL,29.43,29.450001,28.98,28.99,1962700.0,,,,,29.65,29.360001,29.120001,0.309999,0.22,-0.089999
30,2014-02-14,XEL,29.65,29.65,29.290001,29.360001,1707000.0,,,,,29.690001,29.76,29.43,0.22,0.040001,-0.179999
31,2014-02-18,XEL,29.690001,29.809999,29.6,29.76,1996900.0,,,,,29.540001,29.639999,29.65,0.040001,-0.15,-0.190001
32,2014-02-19,XEL,29.540001,29.790001,29.48,29.639999,1922700.0,,,,,29.83,29.58,29.690001,-0.15,0.289999,0.439999
33,2014-02-20,XEL,29.83,29.889999,29.52,29.58,1607200.0,,,,,30.049999,29.77,29.540001,0.289999,0.219999,-0.07
34,2014-02-21,XEL,30.049999,30.17,29.74,29.77,3159700.0,,,,,29.98,30.09,29.83,0.219999,-0.069999,-0.289998
35,2014-02-24,XEL,29.98,30.209999,29.98,30.09,3588900.0,,,,,30.0,29.93,30.049999,-0.069999,0.02,0.089999
36,2014-02-25,XEL,30.0,30.120001,29.879999,29.93,2464900.0,,,,,29.91,30.120001,29.98,0.02,-0.09,-0.11
37,2014-02-26,XEL,29.91,30.15,29.870001,30.120001,2084700.0,,,,,29.93,29.92,30.0,-0.09,0.02,0.11
38,2014-02-27,XEL,29.93,30.09,29.799999,29.92,2242800.0,,,,,30.290001,29.99,29.91,0.02,0.360001,0.340001
39,2014-02-28,XEL,30.290001,30.33,29.98,29.99,3063900.0,,,,,30.01,30.200001,29.93,0.360001,-0.280001,-0.640002
40,2014-03-03,XEL,30.01,30.32,29.98,30.200001,3592800.0,,,,,30.27,30.25,30.290001,-0.280001,0.26,0.540001
41,2014-03-04,XEL,30.27,30.299999,30.129999,30.25,3187200.0,,,,,30.030001,30.26,30.01,0.26,-0.239999,-0.499999
42,2014-03-05,XEL,30.030001,30.27,30.02,30.26,2934100.0,,,,,29.870001,30.030001,30.27,-0.239999,-0.16,0.079999
43,2014-03-06,XEL,29.870001,30.1,29.809999,30.030001,2559700.0,,,,,29.889999,29.860001,30.030001,-0.16,0.019998,0.179998
44,2014-03-07,XEL,29.889999,29.889999,29.57,29.860001,3481200.0,,,,,29.75,29.860001,29.870001,0.019998,-0.139999,-0.159997
45,2014-03-10,XEL,29.75,29.9,29.6,29.860001,2167000.0,,,,,29.59,29.83,29.889999,-0.139999,-0.16,-0.020001
46,2014-03-11,XEL,29.59,29.83,29.5,29.83,1910200.0,,,,,29.92,29.549999,29.75,-0.16,0.33,0.49
47,2014-03-12,XEL,29.92,29.92,29.549999,29.549999,2502800.0,,,,,30.379999,30.030001,29.59,0.33,0.459999,0.129999
48,2014-03-13,XEL,30.379999,30.42,29.780001,30.030001,3346200.0,,,,,30.52,30.370001,29.92,0.459999,0.140001,-0.319998
49,2014-03-14,XEL,30.52,30.620001,30.280001,30.370001,2829200.0,,,,,30.73,30.58,30.379999,0.140001,0.21,0.069999
50,2014-03-17,XEL,30.73,30.77,30.459999,30.58,3080700.0,,,,,30.389999,30.379999,30.52,0.21,-0.340001,-0.550001
51,2014-03-18,XEL,30.389999,30.530001,30.32,30.379999,2848700.0,,,,,29.85,30.389999,30.73,-0.340001,-0.539999,-0.199998
52,2014-03-19,XEL,29.85,30.540001,29.74,30.389999,3344200.0,,,,,29.68,29.440001,30.389999,-0.539999,-0.17,0.369999
53,2014-03-20,XEL,29.68,29.74,29.4,29.440001,3230700.0,,,,,29.690001,29.93,29.85,-0.17,0.010001,0.180001
54,2014-03-21,XEL,29.690001,30.15,29.66,29.93,4527100.0,,,,,29.73,29.76,29.68,0.010001,0.039999,0.029998
