,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,XRAY,47.959999,48.310001,47.779999,47.939999,1025400.0,,,,,48.189999,48.240002,,,0.23,
1,2014-01-03,XRAY,48.189999,48.43,47.959999,48.240002,623300.0,,,,,47.900002,48.32,47.959999,0.23,-0.289997,-0.519997
2,2014-01-06,XRAY,47.900002,48.439999,47.740002,48.32,986700.0,,,,,48.639999,48.049999,48.189999,-0.289997,0.739997,1.029994
3,2014-01-07,XRAY,48.639999,48.740002,48.009998,48.049999,2218300.0,,,,,48.73,48.75,47.900002,0.739997,0.090001,-0.649996
4,2014-01-08,XRAY,48.73,48.98,48.57,48.75,801600.0,,,,,48.91,48.669998,48.639999,0.090001,0.18,0.089999
5,2014-01-09,XRAY,48.91,48.950001,48.57,48.669998,628000.0,,,,,48.950001,48.880001,48.73,0.18,0.040001,-0.139999
6,2014-01-10,XRAY,48.950001,49.130001,48.73,48.880001,2028500.0,,,,,48.310001,48.950001,48.91,0.040001,-0.64,-0.680001
7,2014-01-13,XRAY,48.310001,49.0,48.23,48.950001,729700.0,,,,,48.73,48.48,48.950001,-0.64,0.419999,1.059999
8,2014-01-14,XRAY,48.73,48.860001,48.330002,48.48,607600.0,,,,,48.310001,48.860001,48.310001,0.419999,-0.419999,-0.839998
9,2014-01-15,XRAY,48.310001,48.880001,48.290001,48.860001,957900.0,,,,,48.259998,48.139999,48.73,-0.419999,-0.050003,0.369996
10,2014-01-16,XRAY,48.259998,48.380001,48.029999,48.139999,1046200.0,,,,,47.900002,48.34,48.310001,-0.050003,-0.359996,-0.309993
11,2014-01-17,XRAY,47.900002,48.34,47.849998,48.34,1008000.0,,,,,48.02,48.32,48.259998,-0.359996,0.119998,0.479994
12,2014-01-21,XRAY,48.02,48.720001,47.959999,48.32,1012600.0,,,,,47.779999,47.93,47.900002,0.119998,-0.240001,-0.359999
13,2014-01-22,XRAY,47.779999,48.389999,47.619999,47.93,736400.0,,,,,47.029999,47.419998,48.02,-0.240001,-0.75,-0.509999
14,2014-01-23,XRAY,47.029999,48.040001,46.91,47.419998,1360800.0,,,,,45.84,46.759998,47.779999,-0.75,-1.189999,-0.439999
15,2014-01-24,XRAY,45.84,46.91,45.830002,46.759998,1520900.0,,,,,45.860001,43.799999,47.029999,-1.189999,0.020001,1.21
16,2014-01-27,XRAY,45.860001,46.099998,42.990002,43.799999,1145100.0,,,,,46.189999,45.75,45.84,0.020001,0.329998,0.309997
17,2014-01-28,XRAY,46.189999,46.470001,45.34,45.75,1141200.0,,,,,46.049999,45.860001,45.860001,0.329998,-0.14,-0.469998
18,2014-01-29,XRAY,46.049999,46.400002,45.720001,45.860001,666200.0,,,,,46.599998,46.310001,46.189999,-0.14,0.549999,0.689999
19,2014-01-30,XRAY,46.599998,46.810001,46.099998,46.310001,809000.0,,,,,46.139999,46.029999,46.049999,0.549999,-0.459999,-1.009998
20,2014-01-31,XRAY,46.139999,46.240002,45.700001,46.029999,714600.0,,,,,44.950001,46.200001,46.599998,-0.459999,-1.189998,-0.729999
21,2014-02-03,XRAY,44.950001,46.34,44.91,46.200001,1195000.0,,,,,44.919998,45.169998,46.139999,-1.189998,-0.030003,1.159995
22,2014-02-04,XRAY,44.919998,45.189999,44.580002,45.169998,1164100.0,,,,,44.98,44.720001,44.950001,-0.030003,0.060002,0.090005
23,2014-02-05,XRAY,44.98,45.16,44.459999,44.720001,592100.0,,,,,45.32,45.009998,44.919998,0.060002,0.34,0.279998
24,2014-02-06,XRAY,45.32,45.389999,44.700001,45.009998,928100.0,,,,,45.610001,45.450001,44.98,0.34,0.290001,-0.049999
25,2014-02-07,XRAY,45.610001,45.73,45.220001,45.450001,911300.0,,,,,45.830002,45.68,45.32,0.290001,0.220001,-0.07
26,2014-02-10,XRAY,45.830002,45.900002,45.380001,45.68,1062100.0,,,,,46.279999,45.709999,45.610001,0.220001,0.449997,0.229996
27,2014-02-11,XRAY,46.279999,46.439999,45.419998,45.709999,818000.0,,,,,45.970001,46.200001,45.830002,0.449997,-0.309998,-0.759995
28,2014-02-12,XRAY,45.970001,46.610001,45.869999,46.200001,1014700.0,,,,,45.990002,45.639999,46.279999,-0.309998,0.020001,0.329999
29,2014-02-13,XRAY,45.990002,46.450001,45.290001,45.639999,1119700.0,,,,,46.240002,46.009998,45.970001,0.020001,0.25,0.229999
30,2014-02-14,XRAY,46.240002,46.669998,45.810001,46.009998,1679500.0,,,,,45.689999,43.0,45.990002,0.25,-0.550003,-0.800003
31,2014-02-18,XRAY,45.689999,45.919998,43.0,43.0,2367300.0,,,,,44.689999,45.169998,46.240002,-0.550003,-1.0,-0.449997
32,2014-02-19,XRAY,44.689999,45.52,44.549999,45.169998,1305200.0,,,,,45.470001,44.98,45.689999,-1.0,0.780002,1.780002
33,2014-02-20,XRAY,45.470001,45.52,44.599998,44.98,895700.0,,,,,45.0,45.450001,44.689999,0.780002,-0.470001,-1.250003
34,2014-02-21,XRAY,45.0,45.759998,44.98,45.450001,2210400.0,,,,,45.110001,45.169998,45.470001,-0.470001,0.110001,0.580002
35,2014-02-24,XRAY,45.110001,45.52,44.970001,45.169998,1180400.0,,,,,45.290001,45.040001,45.0,0.110001,0.18,0.069999
36,2014-02-25,XRAY,45.290001,45.509998,44.959999,45.040001,1310400.0,,,,,45.16,45.310001,45.110001,0.18,-0.130001,-0.310001
37,2014-02-26,XRAY,45.16,45.650002,45.080002,45.310001,1131900.0,,,,,45.389999,45.25,45.290001,-0.130001,0.229999,0.36
38,2014-02-27,XRAY,45.389999,45.459999,45.200001,45.25,1444500.0,,,,,45.380001,45.52,45.16,0.229999,-0.009998,-0.239997
