,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,XRX,11.91,12.11,11.77,12.09,10481400.0,,,,,11.99,11.93,,,0.08,
1,2014-01-03,XRX,11.99,12.04,11.85,11.93,7282600.0,,,,,12.09,12.04,11.91,0.08,0.1,0.02
2,2014-01-06,XRX,12.09,12.14,11.98,12.04,14906800.0,,,,,12.19,12.11,11.99,0.1,0.1,0.0
3,2014-01-07,XRX,12.19,12.23,12.09,12.11,15382300.0,,,,,12.08,12.2,12.09,0.1,-0.11,-0.21
4,2014-01-08,XRX,12.08,12.21,12.03,12.2,7833400.0,,,,,12.05,12.1,12.19,-0.11,-0.03,0.08
5,2014-01-09,XRX,12.05,12.15,11.92,12.1,6397800.0,,,,,11.99,12.06,12.08,-0.03,-0.06,-0.03
6,2014-01-10,XRX,11.99,12.07,11.94,12.06,4790400.0,,,,,12.21,11.99,12.05,-0.06,0.22,0.28
7,2014-01-13,XRX,12.21,12.29,11.96,11.99,24327200.0,,,,,12.26,12.19,11.99,0.22,0.05,-0.17
8,2014-01-14,XRX,12.26,12.28,12.09,12.19,8325600.0,,,,,12.39,12.25,12.21,0.05,0.13,0.08
9,2014-01-15,XRX,12.39,12.45,12.25,12.25,6823600.0,,,,,12.44,12.39,12.26,0.13,0.05,-0.08
10,2014-01-16,XRX,12.44,12.65,12.39,12.39,12245800.0,,,,,12.2,12.42,12.39,0.05,-0.24,-0.29
11,2014-01-17,XRX,12.2,12.44,12.16,12.42,8543400.0,,,,,12.14,12.27,12.44,-0.24,-0.06,0.18
12,2014-01-21,XRX,12.14,12.34,12.11,12.27,8009400.0,,,,,12.06,12.2,12.2,-0.06,-0.08,-0.02
13,2014-01-22,XRX,12.06,12.3,11.98,12.2,15029800.0,,,,,11.76,11.97,12.14,-0.08,-0.3,-0.22
14,2014-01-23,XRX,11.76,12.0,11.67,11.97,23361800.0,,,,,11.24,11.54,12.06,-0.3,-0.52,-0.22
15,2014-01-24,XRX,11.24,11.69,11.08,11.54,35529500.0,0.973514285714,0.0434285714286,0.859,0.0975714285714,10.61,11.1,11.76,-0.52,-0.63,-0.11
16,2014-01-27,XRX,10.61,11.12,10.56,11.1,25104900.0,,,,,10.88,10.78,11.24,-0.63,0.27,0.9
17,2014-01-28,XRX,10.88,10.93,10.73,10.78,21782200.0,,,,,10.61,10.76,10.61,0.27,-0.27,-0.54
18,2014-01-29,XRX,10.61,10.87,10.57,10.76,18259100.0,,,,,11.05,10.67,10.88,-0.27,0.44,0.71
19,2014-01-30,XRX,11.05,11.1,10.66,10.67,25426100.0,,,,,10.85,11.01,10.61,0.44,-0.2,-0.64
20,2014-01-31,XRX,10.85,11.12,10.79,11.01,28771500.0,,,,,10.41,10.88,11.05,-0.2,-0.44,-0.24
21,2014-02-03,XRX,10.41,10.93,10.36,10.88,20896100.0,,,,,10.38,10.42,10.85,-0.44,-0.03,0.41
22,2014-02-04,XRX,10.38,10.46,10.31,10.42,15979400.0,,,,,10.3,10.36,10.41,-0.03,-0.08,-0.05
23,2014-02-05,XRX,10.3,10.44,10.26,10.36,12544200.0,,,,,10.35,10.33,10.38,-0.08,0.05,0.13
24,2014-02-06,XRX,10.35,10.42,10.3,10.33,17432400.0,,,,,10.41,10.39,10.3,0.05,0.06,0.01
25,2014-02-07,XRX,10.41,10.49,10.36,10.39,24234800.0,,,,,10.4,10.39,10.35,0.06,-0.01,-0.07
